Party,Name,Constituency,ConstituencyVote,Constituency.,Vote1,Vote2,Vote3,Vote4,Vote5,Vote6,Vote7,Vote8,ConstituencyPercent,LeavePercent,SecondVote1,SecondVote2,SecondVote3,SecondVote4,PartyGroup,BetterLeavePercent
Con,Glyn Davies,Montgomeryshire,Leave,56,Against,Against,Against,Against,Against,For,For,For,56,56,Against,Against,Against,Against,Con,0.5598584868
Con,Douglas Ross,Moray,Remain,50,Against,Against,Against,Against,Against,Abstain,Abstain,Against,50,50,Against,Against,Against,Against,Con,0.4987319669
Con,David Morris,Morecambe and Lunesdale,Leave,59,Against,Against,Against,Against,Against,Against,Against,Against,59,59,Against,Against,Against,Against,Con,0.5891294279
Con,Andrea Jenkyns,Morley and Outwood,Leave,60,Against,Against,Against,Against,Against,For,For,Against,60,60,Against,Against,Against,Against,Con,0.5978587835
SNP,Marion Fellows,Motherwell and Wishaw,Remain,63,Abstain,For,Abstain,Abstain,For,Against,Against,Against,63,37,Abstain,For,For,For,Other,0.3697252683
SNP,Angus Brendan MacNeil,Na h Eileanan an Iar,Remain,56,Abstain,Abstain,Abstain,Abstain,For,Against,Against,Against,56,44,Abstain,Abstain,Abstain,Abstain,Other,0.439006772
Lab,Christina Rees,Neath,Leave,54,For,For,For,For,Abstain,Against,Against,Abstain,54,54,For,For,For,Abstain,Lab,0.542076298
Con,Julian Lewis,New Forest East,Leave,60,Against,Against,Against,Against,Against,For,For,Against,60,60,Against,Against,Against,Against,Con,0.5954240312
Con,Sir Desmond Swayne,New Forest West,Leave,56,Against,Against,Against,Against,Against,For,For,Against,56,56,Against,Against,Against,Against,Con,0.5587861576
Con,Robert Jenrick,Newark,Leave,56,Against,Against,Against,Against,Against,For,Against,Against,56,56,Against,Against,Against,Against,Con,0.5575331126
Con,Richard Benyon,Newbury,Remain,52,For,Against,Against,For,Against,Against,Against,Against,52,48,For,Against,For,Against,Con,0.4751037638
Lab,Paul Farrelly,Newcastle under Lyme,Leave,62,For,For,For,For,For,Against,Against,Against,62,62,For,For,For,For,Lab,0.6166735906
Lab,Chi Onwurah,Newcastle upon Tyne Central,Remain,52,For,For,For,For,For,Against,Against,Against,52,48,For,For,For,For,Lab,0.4837449781
Lab,Nicholas Brown,Newcastle upon Tyne East,Remain,59,For,For,For,For,Abstain,Against,Against,Abstain,59,41,For,For,For,Abstain,Lab,0.4113020255
Lab,Catherine McKinnell,Newcastle upon Tyne North,Leave,57,For,For,For,Abstain,For,Against,Against,Against,57,57,For,For,Abstain,For,Lab,0.5714743293
Lab,Jessica Morden,Newport East,Leave,60,For,For,For,Abstain,Abstain,Against,Against,Abstain,60,60,For,For,For,Abstain,Lab,0.6025468491
Con,Anne Marie Morris,Newton Abbot,Leave,56,Against,Against,Against,Against,Against,For,Against,Against,56,56,Against,Against,Against,Against,Con,0.56101102
Lab,Yvette Cooper,Normanton Pontefract and Castle ,Leave,69,For,For,For,For,Abstain,Against,Against,Abstain,69,69,For,For,For,Abstain,Lab,0.6925528289
SNP,Patricia Gibson,North Ayrshire and Arran,Remain,58,Abstain,For,Abstain,Abstain,For,Against,Against,Against,58,42,Abstain,For,For,For,Other,0.4229065403
Con,Scott Mann,North Cornwall,Leave,60,Against,Against,Against,Against,Against,For,For,For,60,60,Against,Against,Against,Against,Con,0.6032021785
Con,Peter Heaton-Jones,North Devon,Leave,57,Against,Against,Against,Against,Against,Abstain,Against,Against,57,57,Against,Against,Against,Against,Con,0.5703847943
Con,Simon Hoare,North Dorset,Leave,56,For,Against,Against,For,Against,Against,Against,For,56,56,Abstain,Abstain,Abstain,Abstain,Con,0.5641147657
Lab,Kevan Jones,North Durham,Leave,60,For,Against,For,Against,Abstain,Against,Against,Against,60,60,For,Against,Abstain,Abstain,Lab,0.6013442628
Con,Alistair Burt,North East Bedfordshire,Leave,53,For,Abstain,Against,For,Abstain,Against,Against,For,53,53,For,Abstain,Abstain,Against,Con,0.5329326007
Con,Stephen Barclay,North East Cambridgeshire,Leave,69,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,69,69,Abstain,Abstain,Abstain,Abstain,Con,0.6944604007
Con,Lee Rowley,North East Derbyshire,Leave,62,Against,Against,Against,Against,Against,For,For,Against,62,62,Against,Against,Against,Against,Con,0.6217313517
SNP,Stephen Gethins,North East Fife,Remain,62,Abstain,For,Abstain,Abstain,For,Against,Against,Against,62,38,Abstain,For,For,For,Other,0.3813719637
Con,Ranil Jayawardena,North East Hampshire,Remain,54,Against,Against,Against,Against,Against,For,For,Against,54,46,Against,Against,Against,Against,Con,0.4592303848
Con,Sir Oliver Heald,North East Hertfordshire,Leave,51,For,Against,Against,Abstain,Against,Against,Against,Abstain,51,51,For,Against,Against,Against,Con,0.5137693409
Con,Jacob Rees-Mogg,North East Somerset,Leave,52,Against,Against,Against,Against,Against,For,For,Against,52,52,Against,Against,Against,Against,Con,0.5211688115
Con,Bill Wiggin,North Herefordshire,Leave,58,Against,Against,Against,Against,Against,For,For,Against,58,58,Against,Abstain,Abstain,Abstain,Con,0.5825016186
LD,Norman Lamb,North Norfolk,Leave,58,For,For,Abstain,For,Abstain,Against,Against,Abstain,58,58,For,For,For,Abstain,Other,0.5825388155
Con,Owen Paterson,North Shropshire,Leave,59,Against,Against,Against,Against,Against,For,For,Against,59,59,Against,Against,Against,Against,Con,0.5945746021
Con,Liam Fox,North Somerset,Remain,52,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,52,48,Abstain,Abstain,Abstain,Abstain,Con,0.4796739156
Con,Justin Tomlinson,North Swindon,Leave,57,Against,Against,Against,Against,Against,For,For,Against,57,57,Against,Against,Against,Against,Con,0.5744267235
Con,Sir Roger Gale,North Thanet,Leave,65,Against,Against,Against,Against,Against,Against,Against,Against,65,65,Against,Against,Against,Against,Con,0.6496979873
Lab,Mary Glindon,North Tyneside,Leave,59,For,Abstain,For,For,Abstain,Against,Against,Abstain,59,59,For,Against,For,Abstain,Lab,0.5936533258
Con,Craig Tracey,North Warwickshire,Leave,68,Against,Against,Against,Against,Against,For,Against,Against,68,68,Against,Against,Against,Against,Con,0.6777035648
Con,Shailesh Vara,North West Cambridgeshire,Leave,57,Against,Against,Against,Against,Against,For,For,Against,57,57,Against,Against,Against,Against,Con,0.569533401
Lab,Laura Pidcock,North West Durham,Leave,55,For,For,For,For,Abstain,Against,Against,Abstain,55,55,For,For,For,Abstain,Lab,0.5498292758
Con,Kit Malthouse,North West Hampshire,Leave,55,Against,Against,Against,Against,Against,For,For,Against,55,55,Against,Against,Against,Against,Con,0.5452543174
Con,Andrew Bridgen,North West Leicestershire,Leave,61,Against,Against,Against,Against,Against,For,For,Against,61,61,Against,Against,Against,Against,Con,0.6069847772
Con,Sir Henry Bellingham,North West Norfolk,Leave,66,Against,Against,Against,Against,Against,For,For,Against,66,66,Against,Against,Against,Against,Con,0.6614050216
Con,James Gray,North Wiltshire,Leave,50,Against,Against,Against,Against,Against,For,For,Against,50,50,Against,Against,Against,Against,Con,0.5036643267
Con,Michael Ellis,Northampton North,Leave,61,Against,Against,Against,Against,Against,For,Against,Against,61,61,Against,Against,Against,Against,Con,0.6068557353
Con,Andrew Lewer,Northampton South,Leave,60,Against,Against,Against,Against,Against,For,For,Against,60,60,Against,Against,Against,Against,Con,0.5961124246
Con,Chloe Smith,Norwich North,Leave,57,Against,Against,Against,Against,Against,Abstain,Abstain,Against,57,57,Against,Against,Against,Against,Con,0.573218222
Lab,Clive Lewis,Norwich South,Remain,60,For,For,For,Against,For,Against,Against,Against,60,40,For,For,For,For,Lab,0.4036060387
TIG,Chris Leslie,Nottingham East,Remain,57,Against,For,Against,Against,For,Against,Against,Against,57,43,Against,For,Against,For,Other,0.4287932214
Lab,Alex Norris,Nottingham North,Leave,64,For,For,For,For,Abstain,Against,Against,Abstain,64,64,For,For,For,Abstain,Lab,0.6380805601
Lab,Lilian Greenwood,Nottingham South,Remain,54,For,For,For,Abstain,For,Against,Against,Against,54,46,For,For,For,For,Lab,0.4646776483
Con,Marcus Jones,Nuneaton,Leave,65,Against,Against,Against,Against,Against,For,Against,Against,65,65,Against,Against,Against,Against,Con,0.6475463211
Con,Luke Graham,Ochil and South Perthshire,Remain,61,Against,Against,Against,Against,Against,Against,Abstain,For,61,39,For,Against,Against,Against,Con,0.3925028404
Lab,Chris Elmore,Ogmore,Leave,60,For,For,For,Abstain,For,Against,Against,Against,60,60,For,For,For,For,Lab,0.5975247001
Con,James Brokenshire,Old Bexley and Sidcup,Leave,63,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,63,63,Abstain,Abstain,Abstain,Abstain,Con,0.6315823144
Lab,Debbie Abrahams,Oldham East and Saddleworth,Leave,60,For,For,For,Abstain,Abstain,Against,Against,Against,60,60,For,For,Abstain,Abstain,Lab,0.5992043445
Lab,Jim McMahon,Oldham West and Royton,Leave,61,For,Abstain,For,For,Abstain,Against,Against,Abstain,61,61,For,Abstain,For,Abstain,Lab,0.6130829724
LD,Alistair Carmichael,Orkney and Shetland,Remain,60,Abstain,For,Abstain,Abstain,For,Against,Against,Abstain,60,40,Against,For,Abstain,For,Other,0.4028130825
Con,Joseph Johnson,Orpington,Leave,58,Against,For,Against,Against,Against,Against,Against,Against,58,58,Against,For,Abstain,Against,Con,0.5754149843
Lab,Anneliese Dodds,Oxford East,Remain,68,For,For,For,For,For,Against,Against,Abstain,68,32,For,For,For,For,Lab,0.3231255145
LD,Layla Moran,Oxford West and Abingdon,Remain,62,Abstain,For,Abstain,Abstain,For,Against,Against,Abstain,62,38,Abstain,For,Abstain,For,Other,0.3818095305
SNP,Gavin Newlands,Paisley and Renfrewshire North,Remain,64,Abstain,For,Abstain,Abstain,For,Against,Against,Against,64,36,Abstain,For,For,For,Other,0.3609494834
SNP,Mhairi Black,Paisley and Renfrewshire South,Remain,66,Abstain,For,Abstain,Abstain,For,Against,Against,Against,66,34,Abstain,For,For,For,Other,0.3418975385
Con,Andrew Stephenson,Pendle,Leave,63,Against,Against,Against,Against,Against,For,For,Against,63,63,Against,Against,Against,Against,Con,0.631542958
TIG,Angela Smith,Penistone and Stocksbridge,Leave,61,Against,For,Against,Against,For,Against,Against,Against,61,61,Against,For,Against,For,Other,0.6134816363
Con,Rory Stewart,Penrith and The Border,Leave,55,For,Against,Against,Abstain,Against,Against,Against,Abstain,55,55,For,Against,Abstain,Against,Con,0.5536686158
SNP,Pete Wishart,Perth and North Perthshire,Remain,60,Abstain,Abstain,Abstain,Abstain,For,Against,Against,Against,60,40,Abstain,Abstain,For,For,Other,0.4017141951
Ind,Fiona Onasanya,Peterborough,Leave,61,Against,For,Abstain,For,Abstain,Against,Against,Against,61,61,Against,For,For,Abstain,Other,0.6130959473
Con,Johnny Mercer,Plymouth Moor View,Leave,66,Against,Against,Against,Against,Against,For,Against,Against,66,66,Against,Against,Against,Against,Con,0.6644024004
Lab,Luke Pollard,Plymouth Sutton and Devonport,Leave,54,For,For,For,For,For,Against,Against,Against,54,54,For,For,For,For,Lab,0.5440523532
Lab,Owen Smith,Pontypridd,Remain,54,Abstain,For,Abstain,Against,For,Against,Against,Against,54,46,Against,For,Against,For,Lab,0.4581995036
Con,Sir Robert Syms,Poole,Leave,57,Against,Against,Against,Against,Against,For,Against,Against,57,57,Against,Against,Against,Against,Con,0.5694324444
Lab,Jim Fitzpatrick,Poplar and Limehouse,Remain,66,For,Against,For,Against,Abstain,Against,Against,Against,66,34,For,Abstain,Abstain,For,Lab,0.3418642886
Con,Penny Mordaunt,Portsmouth North,Leave,64,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,64,64,Abstain,Abstain,Abstain,Abstain,Con,0.6369341446
Lab,Stephen Morgan,Portsmouth South,Leave,52,For,For,For,Against,For,Against,Against,Against,52,52,For,For,For,For,Lab,0.517630344
Con,Stephen Crabb,Preseli Pembrokeshire,Leave,56,For,Against,Against,For,Against,Against,Against,For,56,56,Against,Against,Against,Against,Con,0.5576907309
Lab,Sir Mark Hendrick,Preston,Leave,57,For,For,For,For,For,Against,Against,For,57,57,For,For,For,For,Lab,0.5685128315
Con,Stuart Andrew,Pudsey,Remain,52,Against,Against,Against,Against,Against,For,For,Against,52,48,Against,Against,Against,Against,Con,0.4835271501
Con,Justine Greening,Putney,Remain,73,Abstain,For,Abstain,Abstain,For,Against,Abstain,Abstain,73,27,Abstain,For,Abstain,For,Con,0.2685141314
Con,Mark Francois,Rayleigh and Wickford,Leave,68,Against,Against,Against,Against,Against,For,For,Against,68,68,Against,Against,Against,Against,Con,0.6788950925
Lab,Matt Rodda,Reading East,Remain,62,For,For,For,For,For,Against,Against,Abstain,62,38,For,For,For,For,Lab,0.3823854953
Con,Alok Sharma,Reading West,Leave,53,Against,Against,Against,Against,Against,Against,Against,Against,53,53,Against,Against,Against,Against,Con,0.5267668701
Lab,Anna Turley,Redcar,Leave,68,For,For,For,Abstain,For,Against,Against,Against,68,68,For,For,Abstain,For,Lab,0.6757391852
Con,Rachel Maclean,Redditch,Leave,61,Against,Against,Against,Against,Against,For,For,Against,61,61,Against,Against,Against,Against,Con,0.6141973496
Con,Crispin Blunt,Reigate,Remain,52,Against,Against,Against,Against,Against,For,For,Against,52,48,Against,Against,Against,Against,Con,0.4779435149
Lab,Chris Bryant,Rhondda,Leave,61,For,For,For,For,Abstain,Against,Against,Against,61,61,For,For,For,For,Lab,0.6124288659
Con,Nigel Evans,Ribble Valley,Leave,59,Against,Against,Against,Against,Against,For,For,Against,59,59,Against,Against,Against,Against,Con,0.5868051438
Con,Zac Goldsmith,Richmond Park,Remain,72,Against,Against,Against,Against,Against,For,For,Against,72,28,Against,Against,Against,Against,Con,0.2770387111
Con,Rishi Sunak,Richmond Yorks ,Leave,55,Against,Against,Against,Against,Against,For,For,Against,55,55,Against,Against,Against,Against,Con,0.5469912898
Lab,Tony Lloyd,Rochdale,Leave,57,For,For,For,For,Abstain,Against,Against,Against,57,57,For,For,For,Abstain,Lab,0.5745003587
Con,Kelly Tolhurst,Rochester and Strood,Leave,64,Against,Against,Against,Against,Against,For,Against,Against,64,64,Against,Against,Against,Against,Con,0.6368812299
Con,James Duddridge,Rochford and Southend East,Leave,60,Against,Against,Against,Against,Against,For,For,Against,60,60,Against,Against,Against,Against,Con,0.6045520412
Con,Andrew Rosindell,Romford,Leave,69,Against,Against,Against,Against,Against,For,For,Against,69,69,Against,Against,Against,Against,Con,0.6928564916
Con,Caroline Nokes,Romsey and Southampton North,Remain,54,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,54,46,Abstain,Abstain,Abstain,Abstain,Con,0.4580927726
SNP,Ian Blackford,Ross Skye and Lochaber,Remain,57,Abstain,For,Abstain,Abstain,For,Against,Against,Against,57,43,Abstain,For,For,For,Other,0.4335221268
Con,Jake Berry,Rossendale and Darwen,Leave,59,Against,Against,Against,Against,Against,For,Against,Against,59,59,Against,Against,Against,Against,Con,0.5859130289
Lab,Sir Kevin Barron,Rother Valley,Leave,67,For,Against,Abstain,Against,Against,Against,Against,Against,67,67,For,Against,Against,Against,Lab,0.6672198864
Lab,Sarah Champion,Rotherham,Leave,68,For,Against,For,Against,Against,Against,Against,Against,68,68,For,Against,Against,Against,Lab,0.6834596314
Con,Mark Pawsey,Rugby,Leave,58,For,Against,Against,For,Against,Against,Against,For,58,58,For,Against,For,Against,Con,0.5836766023
Con,Nick Hurd,Ruislip Northwood and Pinner,Remain,51,Abstain,Abstain,Against,Abstain,Against,Against,Against,Abstain,51,49,Abstain,Abstain,Abstain,Against,Con,0.490205247
Con,Philip Hammond,Runnymede and Weybridge,Remain,50,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,50,50,Abstain,Abstain,Abstain,Abstain,Con,0.498002617
Con,Kenneth Clarke,Rushcliffe,Remain,59,For,Abstain,For,For,For,Against,Against,Against,59,41,For,Abstain,For,For,Con,0.4130787973
Lab,Ged Killen,Rutherglen and Hamilton West,Remain,63,For,For,For,Abstain,For,Against,Against,Against,63,37,For,For,Abstain,For,Lab,0.3734174153
Con,Sir Alan Duncan,Rutland and Melton,Leave,54,Abstain,Against,Against,Abstain,For,Against,Against,Abstain,54,54,For,Against,Abstain,Against,Con,0.5395742598
Con,Kemi Badenoch,Saffron Walden,Leave,51,Against,Against,Against,Against,Against,Abstain,For,Against,51,51,Against,Against,Against,Against,Con,0.5092493593
Lab,Rebecca Long Bailey,Salford and Eccles,Leave,54,For,For,For,For,Abstain,Against,Against,Abstain,54,54,For,For,For,Abstain,Lab,0.5359345748
Con,John Glen,Salisbury,Leave,50,Against,Against,Against,Against,Against,Against,Against,Against,50,50,Against,Against,Against,Against,Con,0.5033849157
Con,Robert Goodwill,Scarborough and Whitby,Leave,61,Against,Against,Against,Against,Against,For,Against,Against,61,61,Against,Against,Against,Against,Con,0.6136997032
Lab,Nic Dakin,Scunthorpe,Leave,69,For,For,For,Abstain,Abstain,Against,Against,Abstain,69,69,For,For,For,Abstain,Lab,0.6908634102
