Party,Name,Constituency,ConstituencyVote,Constituency.,Vote1,Vote2,Vote3,Vote4,Vote5,Vote6,Vote7,Vote8,ConstituencyPercent,LeavePercent,SecondVote1,SecondVote2,SecondVote3,SecondVote4,PartyGroup,BetterLeavePercent
Con,Stephen Metcalfe,South Basildon and East Thurrock,Leave,73,Against,Against,Against,Against,Against,For,For,Against,73,73,Against,Against,Against,Against,Con,0.7307870602
TIG,Heidi Allen,South Cambridgeshire,Remain,62,Against,For,Against,Against,For,Against,Abstain,Against,62,38,Against,For,Against,For,Other,0.3844375957
Con,Heather Wheeler,South Derbyshire,Leave,60,Against,Against,Against,Against,Against,For,For,Against,60,60,Against,Against,Against,Against,Con,0.6035100097
Con,Richard Drax,South Dorset,Leave,59,Against,Against,Against,Against,Against,For,For,Against,59,59,Against,Against,Against,Against,Con,0.5949281068
Con,Lucy Frazer,South East Cambridgeshire,Remain,55,Abstain,Against,Against,Against,Against,Against,Abstain,Against,55,45,Abstain,Against,Against,Against,Con,0.4498843746
Con,Sheryll Murray,South East Cornwall,Leave,55,Against,Against,Against,Against,Against,For,For,Against,55,55,Against,Against,Against,Against,Con,0.5494650187
Con,Sir John Hayes,South Holland and The Deepings,Leave,71,Against,Against,Against,Against,Against,For,For,Against,71,71,Abstain,Abstain,Abstain,Abstain,Con,0.7117795959
Con,Alberto Costa,South Leicestershire,Leave,58,Against,Against,Against,For,Against,Against,Against,For,58,58,For,Against,Against,Against,Con,0.5821654142
Con,Richard Bacon,South Norfolk,Leave,51,Against,Against,Against,Against,Against,For,For,Against,51,51,Against,Against,Against,Against,Con,0.5110654367
Con,Andrea Leadsom,South Northamptonshire,Leave,53,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,53,53,Abstain,Abstain,Abstain,Abstain,Con,0.5267258407
Con,Seema Kennedy,South Ribble,Leave,57,Against,Against,Against,Against,Against,Against,Against,Against,57,57,Against,Against,Against,Against,Con,0.5685420467
Lab,Emma Lewell-Buck,South Shields,Leave,62,For,Against,For,Abstain,Abstain,Against,Against,Abstain,62,62,For,Against,Against,Against,Lab,0.6205253267
Con,Gavin Williamson,South Staffordshire,Leave,65,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,65,65,Abstain,Abstain,Abstain,Abstain,Con,0.6524281719
Con,James Cartlidge,South Suffolk,Leave,54,Against,Against,Against,For,Against,Against,Against,For,54,54,Against,Against,For,Against,Con,0.5415032318
Con,Robert Buckland,South Swindon,Leave,52,Against,Against,Against,Against,Against,Against,Against,Against,52,52,For,Against,Against,Against,Con,0.5157444245
Con,Craig Mackinlay,South Thanet,Leave,62,Against,Against,Against,Against,Against,For,For,Against,62,62,Against,Against,Against,Against,Con,0.6163407657
Con,Andrew Selous,South West Bedfordshire,Leave,59,Against,Against,Against,Against,Against,Abstain,Abstain,Against,59,59,Against,Against,Against,Against,Con,0.5861080917
Con,Sir Gary Streeter,South West Devon,Leave,55,Against,Against,Against,Against,Against,Against,Against,For,55,55,Against,Against,Against,Against,Con,0.5522960826
Con,David Gauke,South West Hertfordshire,Remain,54,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,54,46,Abstain,Abstain,Abstain,Abstain,Con,0.4637440658
Con,Elizabeth Truss,South West Norfolk,Leave,66,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,66,66,Abstain,Abstain,Abstain,Abstain,Con,0.6625166752
Con,Jeremy Hunt,South West Surrey,Remain,59,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,59,41,Abstain,Abstain,Abstain,Abstain,Con,0.4060791595
Con,Andrew Murrison,South West Wiltshire,Leave,58,Against,Against,Against,Against,Against,For,Abstain,Abstain,58,58,Against,Against,Against,Against,Con,0.5768707336
Con,Royston Smith,Southampton Itchen,Leave,60,Against,Against,Against,Against,Against,For,For,Against,60,60,Against,Against,Against,Against,Con,0.5995870197
Lab,Alan Whitehead,Southampton Test,Leave,51,For,For,For,For,For,Against,Against,Against,51,51,For,For,For,For,Lab,0.5065283649
Con,Sir David Amess,Southend West,Leave,55,Against,Against,Against,Against,Against,For,For,Against,55,55,Against,Against,Against,Against,Con,0.5507458096
Con,Damien Moore,Southport,Remain,54,Against,Against,Against,Against,Against,Against,Against,Against,54,46,Against,Against,Against,Against,Con,0.455067037
Con,Kwasi Kwarteng,Spelthorne,Leave,60,Against,Against,Against,Against,Against,For,Against,Against,60,60,Against,Against,Against,Against,Con,0.60299599
Con,Anne Main,St Albans,Remain,62,Against,Against,Against,Against,Against,For,For,Against,62,38,Against,Against,Against,Against,Con,0.3801529694
Con,Steve Double,St Austell and Newquay,Leave,64,Against,Against,Against,Against,Against,For,For,Against,64,64,Against,Against,Against,Against,Con,0.6350799896
Lab,Conor McGinn,St Helens North,Leave,58,For,For,For,For,Abstain,Against,Against,Abstain,58,58,For,For,For,For,Lab,0.582912107
Lab,Marie Rimmer,St Helens South and Whiston,Leave,56,For,For,For,For,For,Against,Against,Against,56,56,For,For,Abstain,Abstain,Lab,0.5611943015
Con,Derek Thomas,St Ives,Leave,55,Against,Against,Against,Against,Against,For,For,For,55,55,Against,Against,Against,Against,Con,0.5512600721
Con,Jeremy Lefroy,Stafford,Leave,57,For,Abstain,Abstain,For,Abstain,Against,Abstain,For,57,57,For,Against,For,Against,Con,0.5721842569
Con,Karen Bradley,Staffordshire Moorlands,Leave,65,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,65,65,Abstain,Abstain,Abstain,Abstain,Con,0.6458231542
Lab,Jonathan Reynolds,Stalybridge and Hyde,Leave,59,For,For,For,For,Abstain,Against,Against,Abstain,59,59,For,For,For,Abstain,Lab,0.592907293
Con,Stephen McPartland,Stevenage,Leave,57,Against,Against,Against,Against,Against,For,For,Against,57,57,Against,Against,Against,Against,Con,0.5712019136
Con,Stephen Kerr,Stirling,Remain,68,Against,Against,Against,Against,Against,Against,Against,For,68,32,Against,Against,For,Against,Con,0.3219611271
TIG,Ann Coffey,Stockport,Remain,53,Against,For,Against,Against,For,Against,Against,Against,53,47,Against,For,Against,For,Other,0.4678932179
Lab,Alex Cunningham,Stockton North,Leave,67,For,For,For,For,For,Against,Against,Against,67,67,For,For,For,Abstain,Lab,0.6650023263
Lab,Paul Williams,Stockton South,Leave,58,Against,For,For,Against,For,Against,Against,Against,58,58,Against,For,Against,For,Lab,0.5780350318
Lab,Gareth Snell,Stoke on Trent Central,Leave,65,For,Against,For,Against,Against,Against,Against,Against,65,65,For,Against,Against,Against,Lab,0.6501656311
Lab,Ruth Smeeth,Stoke on Trent North,Leave,72,For,Against,For,Against,Against,Against,Against,Against,72,72,For,Against,Against,Against,Lab,0.7212336987
Con,Jack Brereton,Stoke on Trent South,Leave,71,Against,Against,Against,Against,Against,For,For,Against,71,71,Against,Against,Against,Against,Con,0.7084797992
Con,Sir William Cash,Stone,Leave,58,Against,Against,Against,Against,Against,For,For,Against,58,58,Against,Against,Against,Against,Con,0.5804241671
Con,Margot James,Stourbridge,Leave,64,For,Abstain,Against,For,Abstain,Against,Against,Abstain,64,64,For,For,Abstain,Abstain,Con,0.6366398328
Con,Nadhim Zahawi,Stratford on Avon,Leave,51,Against,Against,Against,Abstain,Against,Abstain,Abstain,Abstain,51,51,Against,Against,Against,Against,Con,0.5116542882
TIG,Chuka Umunna,Streatham,Remain,79,Against,For,Against,Against,For,Against,Against,Against,79,21,Against,For,Against,For,Other,0.2053967406
Lab,Kate Green,Stretford and Urmston,Remain,52,For,For,For,Abstain,For,Against,Against,Against,52,48,For,For,For,For,Lab,0.4846768539
Lab,David Drew,Stroud,Remain,54,For,For,For,For,For,Against,Against,Abstain,54,46,For,For,For,For,Lab,0.4598749413
Con,Thérèse Coffey,Suffolk Coastal,Leave,56,Against,Against,Against,Against,Against,Abstain,Abstain,Against,56,56,Against,Against,Against,Against,Con,0.5581571415
Lab,Julie Elliott,Sunderland Central,Leave,60,For,For,For,Abstain,Abstain,Against,Against,Abstain,60,60,For,For,Abstain,Abstain,Lab,0.5993816529
Con,Michael Gove,Surrey Heath,Leave,52,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,52,52,Abstain,Abstain,Abstain,Abstain,Con,0.5199617565
Con,Paul Scully,Sutton and Cheam,Leave,51,Against,Against,Against,Against,Against,For,For,Against,51,51,Against,Against,Against,Against,Con,0.5126743332
Con,Andrew Mitchell,Sutton Coldfield,Leave,52,For,Against,Against,Abstain,Against,For,For,Abstain,52,52,For,Against,Abstain,Against,Con,0.5167437686
Lab,Carolyn Harris,Swansea East,Leave,62,For,Abstain,For,For,Abstain,Against,Against,Abstain,62,62,For,Abstain,For,Abstain,Lab,0.620992238
Lab,Geraint Davies,Swansea West,Remain,57,For,For,For,Abstain,For,Against,Against,Against,57,43,For,For,Abstain,For,Lab,0.4265852976
Con,Christopher Pincher,Tamworth,Leave,66,Against,Against,Against,Against,Against,For,For,Against,66,66,Against,Against,Against,Against,Con,0.660041137
Con,Esther McVey,Tatton,Remain,54,Against,Against,Against,Against,Against,For,For,Against,54,46,Against,Against,Against,Against,Con,0.4583063
Con,Rebecca Pow,Taunton Deane,Leave,53,Against,Against,Against,Abstain,Against,Against,Against,For,53,53,Against,Against,For,Against,Con,0.5292471057
Con,Lucy Allan,Telford,Leave,67,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,67,67,Against,Against,Against,Against,Con,0.670579494
Con,Laurence Robertson,Tewkesbury,Leave,54,Against,Against,Against,Against,Against,For,For,Against,54,54,Against,Against,Against,Against,Con,0.537790386
Con,Sir Geoffrey Clifton-Brown,The Cotswolds,Remain,52,Against,Against,Against,Against,Against,For,For,Against,52,48,Against,Against,Against,Against,Con,0.4779690542
Con,Mark Pritchard,The Wrekin,Leave,58,Against,Against,Against,Against,Against,For,Against,Against,58,58,Against,Against,Against,Against,Con,0.5824790771
Con,Kevin Hollinrake,Thirsk and Malton,Leave,56,Against,Against,Against,For,Against,Against,Against,For,56,56,Against,Against,For,Against,Con,0.5642595163
Con,Luke Hall,Thornbury and Yate,Leave,53,Against,Against,Against,Against,Against,Against,Against,Against,53,53,Against,Against,Against,Against,Con,0.5332839051
Con,Jackie Doyle-Price,Thurrock,Leave,70,Against,Against,Against,Against,Against,For,Against,Against,70,70,Against,Against,Against,Against,Con,0.7025913649
Con,Neil Parish,Tiverton and Honiton,Leave,58,Against,Against,Against,Abstain,Against,For,For,For,58,58,Against,Against,Abstain,Against,Con,0.5762505819
Con,Tom Tugendhat,Tonbridge and Malling,Leave,53,Abstain,Against,Abstain,Abstain,Against,Abstain,Abstain,Abstain,53,53,Against,Against,Against,Against,Con,0.5258550506
Lab,Rosena Allin-Khan,Tooting,Remain,75,For,For,For,Against,For,Against,Against,Against,75,25,For,For,For,For,Lab,0.2532017438
Con,Kevin Foster,Torbay,Leave,63,Against,Against,Against,Against,Against,For,Against,For,63,63,Against,Against,Against,Against,Con,0.6265951073
Lab,Nick Thomas-Symonds,Torfaen,Leave,61,For,For,For,Abstain,Abstain,Against,Against,Abstain,61,61,For,For,For,Abstain,Lab,0.6088015426
Con,Geoffrey Cox,Torridge and West Devon,Leave,57,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,57,57,Abstain,Abstain,Abstain,Abstain,Con,0.5707446545
TIG,Sarah Wollaston,Totnes,Leave,54,Against,For,Against,Against,For,Against,Against,Against,54,54,Against,For,Against,For,Other,0.5408686983
Lab,David Lammy,Tottenham,Remain,76,Abstain,For,For,Abstain,For,Against,Against,Against,76,24,Abstain,For,Abstain,For,Lab,0.2377702633
Con,Sarah Newton,Truro and Falmouth,Remain,54,For,Abstain,Against,Abstain,Abstain,Against,Against,For,54,46,For,Abstain,For,Abstain,Con,0.4622133598
Con,Greg Clark,Tunbridge Wells,Remain,55,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,55,45,Abstain,Abstain,Abstain,Abstain,Con,0.4470139079
LD,Sir Vince Cable,Twickenham,Remain,66,Abstain,For,Against,Abstain,For,Against,Against,Against,66,34,Abstain,For,Abstain,For,Other,0.3367556087
Lab,Sir Alan Campbell,Tynemouth,Remain,52,For,For,For,Abstain,Abstain,Against,Against,Abstain,52,48,For,For,For,Abstain,Lab,0.4784100909
Con,Boris Johnson,Uxbridge and South Ruislip,Leave,56,Against,Against,Against,Against,Against,For,For,Against,56,56,Against,Against,Against,Against,Con,0.5635574865
Lab,Chris Ruane,Vale of Clwyd,Leave,56,For,For,For,For,Abstain,Against,Against,Against,56,56,For,For,For,For,Lab,0.559417007
Con,Alun Cairns,Vale of Glamorgan,Leave,52,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,52,52,Abstain,Abstain,Abstain,Abstain,Con,0.5234642603
Lab,Kate Hoey,Vauxhall,Remain,78,Against,Against,Abstain,Against,Against,For,For,Abstain,78,22,Against,Against,Against,Against,Lab,0.2242839619
Lab,Mary Creagh,Wakefield,Leave,63,For,For,For,Abstain,For,Against,Against,Against,63,63,For,For,Abstain,For,Lab,0.6276506725
Lab,Angela Eagle,Wallasey,Remain,50,For,For,For,Abstain,For,Against,Against,Abstain,50,50,For,For,For,For,Lab,0.4992311963
Con,Eddie Hughes,Walsall North,Leave,74,Against,Against,Against,Against,Against,For,For,Against,74,74,Against,Against,Against,Against,Con,0.7418521817
Lab,Valerie Vaz,Walsall South,Leave,62,For,For,For,For,Abstain,Against,Against,Abstain,62,62,For,For,For,Abstain,Lab,0.6163527587
Lab,Stella Creasy,Walthamstow,Remain,67,For,For,For,Abstain,For,Against,Against,Against,67,33,For,For,For,For,Lab,0.3348858552
Lab,Ian Lavery,Wansbeck,Leave,56,For,Abstain,For,For,Abstain,Against,For,Abstain,56,56,For,Abstain,For,Abstain,Lab,0.5619074863
Con,Edward Vaizey,Wantage,Remain,54,For,Abstain,Against,For,Abstain,Against,Against,For,54,46,For,For,For,For,Con,0.4643220697
Lab,John Spellar,Warley,Leave,62,For,Against,For,Against,Against,Against,Against,Against,62,62,For,Abstain,Against,Abstain,Lab,0.6182570994
Lab,Helen Jones,Warrington North,Leave,59,For,Against,For,For,Against,Against,Against,Against,59,59,For,Against,For,Against,Lab,0.5864758174
Lab,Faisal Rashid,Warrington South,Leave,51,For,For,For,For,For,Against,Against,Abstain,51,51,For,For,For,For,Lab,0.5062010223
Lab,Matt Western,Warwick and Leamington,Remain,59,For,For,For,For,For,Against,Against,Against,59,41,For,For,For,For,Lab,0.4112854182
Lab,Sharon Hodgson,Washington and Sunderland West,Leave,62,For,For,For,For,Abstain,Against,Against,Against,62,62,For,For,For,Abstain,Lab,0.618513324
Con,Richard Harrington,Watford,Leave,51,For,Abstain,Against,For,For,Against,Against,Abstain,51,51,For,For,For,For,Con,0.5118404276
Con,Peter Aldous,Waveney,Leave,63,Against,Against,Against,Against,Against,Against,Against,For,63,63,Against,Against,Against,Against,Con,0.6320988539
Con,Nusrat Ghani,Wealden,Leave,53,Against,Against,Against,Against,Against,For,Against,Against,53,53,Against,Against,Against,Against,Con,0.5254627488
Lab,Mike Amesbury,Weaver Vale,Leave,50,For,For,For,For,Abstain,Against,Against,Abstain,50,50,For,For,For,Abstain,Lab,0.50198502
Con,Peter Bone,Wellingborough,Leave,63,Against,Against,Against,Against,Against,For,For,Against,63,63,Against,Against,Against,Against,Con,0.6293857655
Con,James Heappey,Wells,Leave,53,Against,Against,Against,Against,Against,Abstain,Abstain,Against,53,53,Against,Against,Against,Against,Con,0.534930546
Con,Grant Shapps,Welwyn Hatfield,Leave,53,Against,Against,Against,Against,Against,For,For,Against,53,53,Against,Against,Against,Against,Con,0.5253524015
Lab,John Healey,Wentworth and Dearne,Leave,69,For,For,For,Abstain,Abstain,Against,Abstain,Abstain,69,69,For,For,For,Abstain,Lab,0.689750761
Con,Andrew Bowie,West Aberdeenshire and Kincardine,Remain,61,Against,Against,Against,Against,Against,Against,Against,Against,61,39,Against,Against,Against,Against,Con,0.3860722321
Lab,Tom Watson,West Bromwich East,Leave,68,For,For,For,For,Abstain,Against,Against,Abstain,68,68,For,For,For,Abstain,Lab,0.6759402633
Lab,Adrian Bailey,West Bromwich West,Leave,69,For,For,For,For,Abstain,Against,Against,Abstain,69,69,For,For,For,For,Lab,0.6913566785
Con,Sir Oliver Letwin,West Dorset,Leave,51,For,Against,Against,For,Against,Against,Against,For,51,51,For,Abstain,For,Abstain,Con,0.5099666169
SNP,Martin Docherty-Hughes,West Dunbartonshire,Remain,62,Abstain,For,Abstain,Abstain,For,Against,Against,Against,62,38,Abstain,For,For,For,Other,0.3800555298
Lab,Lyn Brown,West Ham,Remain,53,For,For,For,Abstain,For,Against,Against,Against,53,47,For,For,For,For,Lab,0.4737574112
Lab,Rosie Cooper,West Lancashire,Leave,55,For,Against,For,Against,Against,Against,Against,Against,55,55,For,Against,Against,Against,Lab,0.5493803945
Con,Matt Hancock,West Suffolk,Leave,63,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,63,63,Abstain,Abstain,Abstain,Abstain,Con,0.6326052758
Con,Harriett Baldwin,West Worcestershire,Leave,53,Against,Against,Against,Against,Against,Abstain,Abstain,Abstain,53,53,Against,Against,Against,Against,Con,0.5258070914
Lab,Karen Buck,Westminster North,Remain,67,For,For,For,Abstain,For,Against,Against,Against,67,33,For,For,For,For,Lab,0.3297510088
LD,Tim Farron,Westmorland and Lonsdale,Remain,53,Abstain,For,Abstain,Abstain,For,Against,Against,Abstain,53,47,Abstain,For,For,For,Other,0.4745074061
Con,John Penrose,Weston super Mare,None,None,Against,Against,Against,For,Against,For,For,For,NA,NA,Against,Against,For,Against,Con,0.5666096718
Lab,Lisa Nandy,Wigan,Leave,63,For,Abstain,For,For,For,Against,Abstain,Abstain,63,63,For,Abstain,For,For,Lab,0.6271327758
Con,Stephen Hammond,Wimbledon,Remain,71,For,Abstain,Against,For,For,Against,Against,For,71,29,For,Abstain,For,Abstain,Con,0.2936939468
Con,Steve Brine,Winchester,Remain,60,For,Abstain,Against,For,Abstain,Against,Against,For,60,40,For,For,For,Abstain,Con,0.3971032124
Con,Adam Afriyie,Windsor,Remain,54,Against,Against,Against,Against,Against,For,For,Against,54,46,Against,Against,Against,Against,Con,0.4608509373
Lab,Alison McGovern,Wirral South,Remain,53,For,For,For,Abstain,Abstain,Against,Against,Against,53,47,For,For,For,For,Lab,0.4654894164
Lab,Margaret Greenwood,Wirral West,Remain,55,For,For,For,Abstain,Abstain,Against,Against,Abstain,55,45,For,For,For,Abstain,Lab,0.4469019958
Con,Priti Patel,Witham,Leave,61,Against,Against,Against,Against,Against,For,For,Against,61,61,Against,Against,Against,Against,Con,0.6083046754
Con,Robert Courts,Witney,Remain,54,Against,Against,Against,Against,Against,For,For,For,54,46,Against,Against,Against,Against,Con,0.4634465746
Con,Jonathan Lord,Woking,Remain,56,Against,Against,Against,Against,Against,For,For,Against,56,44,Against,Against,Against,Against,Con,0.4405758349
Con,John Redwood,Wokingham,Remain,58,Against,Against,Against,Against,Against,For,Against,Against,58,42,Against,Against,Against,Against,Con,0.4246933515
Lab,Emma Reynolds,Wolverhampton North East,Leave,68,For,For,For,For,Abstain,Against,Against,Against,68,68,For,For,For,Abstain,Lab,0.6770525193
Lab,Pat McFadden,Wolverhampton South East,Leave,68,For,For,For,Abstain,Abstain,Against,Against,Against,68,68,For,For,For,Abstain,Lab,0.681449563
Lab,Eleanor Smith,Wolverhampton South West,Leave,54,For,For,For,For,Abstain,Against,Against,Abstain,54,54,For,For,For,Abstain,Lab,0.5436750208
Con,Robin Walker,Worcester,Leave,54,Abstain,Against,Against,Against,Against,Against,Against,Against,54,54,Against,Against,Against,Against,Con,0.5367724331
Lab,Sue Hayman,Workington,Leave,60,For,For,For,For,Abstain,Against,Against,Abstain,60,60,For,For,For,Abstain,Lab,0.6031954085
Lab,Barbara Keeley,Worsley and Eccles South,Leave,60,For,For,For,Abstain,Abstain,Against,Against,Abstain,60,60,For,For,For,Abstain,Lab,0.5979113324
Con,Sir Peter Bottomley,Worthing West,Leave,56,Against,Against,Against,Against,Against,Against,Abstain,Against,56,56,Against,Against,Against,Against,Con,0.561226606
Lab,Ian C. Lucas,Wrexham,Leave,57,For,For,For,For,Against,Against,Against,Against,57,57,For,For,For,Abstain,Lab,0.5733141838
Con,Steve Baker,Wycombe,Remain,52,Against,Against,Against,Against,Against,For,For,Against,52,48,Against,Against,Against,Against,Con,0.4804315306
Con,Ben Wallace,Wyre and Preston North,Leave,54,Against,Against,Against,Against,Against,For,Against,For,54,54,Against,Against,Against,Against,Con,0.5403704776
Con,Mark Garnier,Wyre Forest,Leave,63,Against,Abstain,Against,Against,Against,Abstain,For,For,63,63,Abstain,For,Abstain,Against,Con,0.6314547474
Lab,Mike Kane,Wythenshawe and Sale East,Remain,50,For,Abstain,For,For,Abstain,Against,Against,Abstain,50,50,For,Abstain,For,Abstain,Lab,0.498734782
Con,Marcus Fysh,Yeovil,Leave,59,Against,Against,Against,Against,Against,For,For,Against,59,59,Against,Against,Against,Against,Con,0.5929247335
Lab,Albert Owen,Ynys Mæ˜¼ã¸´n,Leave,51,For,For,For,For,For,Against,Against,Abstain,51,51,For,For,For,For,Lab,0.5094200416
Lab,Rachael Maskell,York Central,Remain,61,For,For,For,Against,For,Against,Against,Against,61,39,For,For,For,For,Lab,0.3853303819
Con,Julian Sturdy,York Outer,Remain,55,Against,Against,Against,Against,Against,Abstain,For,For,55,45,Against,Against,Abstain,Against,Con,0.4491634826
SF,Órfhlaith Begley,West Tyrone,None,None,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,NA,NA,Abstain,Abstain,Abstain,Abstain,Other,NA
SF,Mickey Brady,Newry and Armagh,None,None,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,NA,NA,Abstain,Abstain,Abstain,Abstain,Other,NA
DUP,Gregory Campbell,East Londonderry,None,None,Against,Against,Against,Abstain,Against,Abstain,For,Abstain,NA,NA,Against,Against,Against,Against,Other,NA
DUP,Nigel Dodds,Belfast North,None,None,Against,Against,Against,Abstain,Against,Abstain,For,Abstain,NA,NA,Against,Against,Against,Against,Other,NA
DUP,Sir Jeffrey M. Donaldson,Lagan Valley,None,None,Against,Against,Against,Abstain,Against,Abstain,For,Abstain,NA,NA,Against,Against,Against,Against,Other,NA
SF,Michelle Gildernew,Fermanagh and South Tyrone,None,None,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,NA,NA,Abstain,Abstain,Abstain,Abstain,Other,NA
DUP,Paul Girvan,South Antrim,None,None,Against,Against,Against,Abstain,Against,Abstain,For,Abstain,NA,NA,Against,Against,Against,Against,Other,NA
SF,Chris Hazzard,South Down,None,None,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,NA,NA,Abstain,Abstain,Abstain,Abstain,Other,NA
Ind,Lady Hermon,North Down,None,None,Against,For,Against,Against,For,Against,Against,Against,NA,NA,Against,For,Against,For,Other,NA
DUP,Emma Little Pengelly,Belfast South,None,None,Against,Against,Against,Abstain,Against,Abstain,For,Abstain,NA,NA,Against,Against,Against,Against,Other,NA
SF,Elisha McCallion,Foyle,None,None,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,NA,NA,Abstain,Abstain,Abstain,Abstain,Other,NA
SF,Paul Maskey,Belfast West,None,None,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,NA,NA,Abstain,Abstain,Abstain,Abstain,Other,NA
SF,Francie Molloy,Mid Ulster,None,None,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,Abstain,NA,NA,Abstain,Abstain,Abstain,Abstain,Other,NA
DUP,Ian Paisley,North Antrim,None,None,Against,Against,Against,Abstain,Against,Abstain,For,Abstain,NA,NA,Against,Against,Against,Against,Other,NA
DUP,Gavin Robinson,Belfast East,None,None,Against,Against,Against,Abstain,Against,Abstain,For,Abstain,NA,NA,Against,Against,Against,Against,Other,NA
DUP,Jim Shannon,Strangford,None,None,Against,Against,Against,Abstain,Against,Against,For,Abstain,NA,NA,Against,Against,Against,Against,Other,NA
DUP,David Simpson,Upper Bann,None,None,Against,Against,Against,Abstain,Against,Abstain,For,Abstain,NA,NA,Against,Against,Against,Against,Other,NA
DUP,Sammy Wilson,East Antrim,None,None,Against,Against,Against,Abstain,Against,Abstain,For,Abstain,NA,NA,Against,Against,Against,Against,Other,NA
