"Party","PartyGroup","BetterLeavePercent","GroupedPercent","GroupedPercent2","ConstituencyVote","Vote1","Vote2","Vote3","Vote4","Vote5","Vote6","Vote7","Vote8","SecondVote1","SecondVote2","SecondVote3","SecondVote4","Name","Constituency"
"Con","Con",0.3925028404,"First","Remain","Remain","Against","Against","Against","Against","Against","Against","Abstain","For","For","Against","Against","Against","Luke Graham","Ochil and South Perthshire"
"Lab","Lab",0.5975247001,"Third","StrongLeave","Leave","For","For","For","Abstain","For","Against","Against","Against","For","For","For","For","Chris Elmore","Ogmore"
"Con","Con",0.6315823144,"Fourth","StrongLeave","Leave","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","James Brokenshire","Old Bexley and Sidcup"
"Lab","Lab",0.5992043445,"Third","StrongLeave","Leave","For","For","For","Abstain","Abstain","Against","Against","Against","For","For","Abstain","Abstain","Debbie Abrahams","Oldham East and Saddleworth"
"Lab","Lab",0.6130829724,"Fourth","StrongLeave","Leave","For","Abstain","For","For","Abstain","Against","Against","Abstain","For","Abstain","For","Abstain","Jim McMahon","Oldham West and Royton"
"LD","Other",0.4028130825,"First","Remain","Remain","Abstain","For","Abstain","Abstain","For","Against","Against","Abstain","Against","For","Abstain","For","Alistair Carmichael","Orkney and Shetland"
"Con","Con",0.5754149843,"Third","Leave","Leave","Against","For","Against","Against","Against","Against","Against","Against","Against","For","Abstain","Against","Joseph Johnson","Orpington"
"Lab","Lab",0.3231255145,"First","Remain","Remain","For","For","For","For","For","Against","Against","Abstain","For","For","For","For","Anneliese Dodds","Oxford East"
"LD","Other",0.3818095305,"First","Remain","Remain","Abstain","For","Abstain","Abstain","For","Against","Against","Abstain","Abstain","For","Abstain","For","Layla Moran","Oxford West and Abingdon"
"SNP","Other",0.3609494834,"First","Remain","Remain","Abstain","For","Abstain","Abstain","For","Against","Against","Against","Abstain","For","For","For","Gavin Newlands","Paisley and Renfrewshire North"
"SNP","Other",0.3418975385,"First","Remain","Remain","Abstain","For","Abstain","Abstain","For","Against","Against","Against","Abstain","For","For","For","Mhairi Black","Paisley and Renfrewshire South"
"Con","Con",0.631542958,"Fourth","StrongLeave","Leave","Against","Against","Against","Against","Against","For","For","Against","Against","Against","Against","Against","Andrew Stephenson","Pendle"
"TIG","Other",0.6134816363,"Fourth","StrongLeave","Leave","Against","For","Against","Against","For","Against","Against","Against","Against","For","Against","For","Angela Smith","Penistone and Stocksbridge"
"Con","Con",0.5536686158,"Third","Leave","Leave","For","Against","Against","Abstain","Against","Against","Against","Abstain","For","Against","Abstain","Against","Rory Stewart","Penrith and The Border"
"SNP","Other",0.4017141951,"First","Remain","Remain","Abstain","Abstain","Abstain","Abstain","For","Against","Against","Against","Abstain","Abstain","For","For","Pete Wishart","Perth and North Perthshire"
"Ind","Other",0.6130959473,"Fourth","StrongLeave","Leave","Against","For","Abstain","For","Abstain","Against","Against","Against","Against","For","For","Abstain","Fiona Onasanya","Peterborough"
"Con","Con",0.6644024004,"Fourth","StrongLeave","Leave","Against","Against","Against","Against","Against","For","Against","Against","Against","Against","Against","Against","Johnny Mercer","Plymouth Moor View"
"Lab","Lab",0.5440523532,"Third","Leave","Leave","For","For","For","For","For","Against","Against","Against","For","For","For","For","Luke Pollard","Plymouth Sutton and Devonport"
"Lab","Lab",0.4581995036,"Second","Remain","Remain","Abstain","For","Abstain","Against","For","Against","Against","Against","Against","For","Against","For","Owen Smith","Pontypridd"
"Con","Con",0.5694324444,"Third","Leave","Leave","Against","Against","Against","Against","Against","For","Against","Against","Against","Against","Against","Against","Sir Robert Syms","Poole"
"Lab","Lab",0.3418642886,"First","Remain","Remain","For","Against","For","Against","Abstain","Against","Against","Against","For","Abstain","Abstain","For","Jim Fitzpatrick","Poplar and Limehouse"
"Con","Con",0.6369341446,"Fourth","StrongLeave","Leave","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Penny Mordaunt","Portsmouth North"
"Lab","Lab",0.517630344,"Second","Leave","Leave","For","For","For","Against","For","Against","Against","Against","For","For","For","For","Stephen Morgan","Portsmouth South"
"Con","Con",0.5576907309,"Third","Leave","Leave","For","Against","Against","For","Against","Against","Against","For","Against","Against","Against","Against","Stephen Crabb","Preseli Pembrokeshire"
"Lab","Lab",0.5685128315,"Third","Leave","Leave","For","For","For","For","For","Against","Against","For","For","For","For","For","Sir Mark Hendrick","Preston"
"Con","Con",0.4835271501,"Second","Remain","Remain","Against","Against","Against","Against","Against","For","For","Against","Against","Against","Against","Against","Stuart Andrew","Pudsey"
"Con","Con",0.2685141314,"First","Remain","Remain","Abstain","For","Abstain","Abstain","For","Against","Abstain","Abstain","Abstain","For","Abstain","For","Justine Greening","Putney"
"Con","Con",0.6788950925,"Fourth","StrongLeave","Leave","Against","Against","Against","Against","Against","For","For","Against","Against","Against","Against","Against","Mark Francois","Rayleigh and Wickford"
"Lab","Lab",0.3823854953,"First","Remain","Remain","For","For","For","For","For","Against","Against","Abstain","For","For","For","For","Matt Rodda","Reading East"
"Con","Con",0.5267668701,"Second","Leave","Leave","Against","Against","Against","Against","Against","Against","Against","Against","Against","Against","Against","Against","Alok Sharma","Reading West"
"Lab","Lab",0.6757391852,"Fourth","StrongLeave","Leave","For","For","For","Abstain","For","Against","Against","Against","For","For","Abstain","For","Anna Turley","Redcar"
"Con","Con",0.6141973496,"Fourth","StrongLeave","Leave","Against","Against","Against","Against","Against","For","For","Against","Against","Against","Against","Against","Rachel Maclean","Redditch"
"Con","Con",0.4779435149,"Second","Remain","Remain","Against","Against","Against","Against","Against","For","For","Against","Against","Against","Against","Against","Crispin Blunt","Reigate"
"Lab","Lab",0.6124288659,"Fourth","StrongLeave","Leave","For","For","For","For","Abstain","Against","Against","Against","For","For","For","For","Chris Bryant","Rhondda"
"Con","Con",0.5868051438,"Third","StrongLeave","Leave","Against","Against","Against","Against","Against","For","For","Against","Against","Against","Against","Against","Nigel Evans","Ribble Valley"
"Con","Con",0.2770387111,"First","Remain","Remain","Against","Against","Against","Against","Against","For","For","Against","Against","Against","Against","Against","Zac Goldsmith","Richmond Park"
"Con","Con",0.5469912898,"Third","Leave","Leave","Against","Against","Against","Against","Against","For","For","Against","Against","Against","Against","Against","Rishi Sunak","Richmond Yorks"
"Lab","Lab",0.5745003587,"Third","Leave","Leave","For","For","For","For","Abstain","Against","Against","Against","For","For","For","Abstain","Tony Lloyd","Rochdale"
"Con","Con",0.6368812299,"Fourth","StrongLeave","Leave","Against","Against","Against","Against","Against","For","Against","Against","Against","Against","Against","Against","Kelly Tolhurst","Rochester and Strood"
"Con","Con",0.6045520412,"Fourth","StrongLeave","Leave","Against","Against","Against","Against","Against","For","For","Against","Against","Against","Against","Against","James Duddridge","Rochford and Southend East"
"Con","Con",0.6928564916,"Fourth","StrongLeave","Leave","Against","Against","Against","Against","Against","For","For","Against","Against","Against","Against","Against","Andrew Rosindell","Romford"
"Con","Con",0.4580927726,"Second","Remain","Remain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Caroline Nokes","Romsey and Southampton North"
"SNP","Other",0.4335221268,"First","Remain","Remain","Abstain","For","Abstain","Abstain","For","Against","Against","Against","Abstain","For","For","For","Ian Blackford","Ross Skye and Lochaber"
"Con","Con",0.5859130289,"Third","StrongLeave","Leave","Against","Against","Against","Against","Against","For","Against","Against","Against","Against","Against","Against","Jake Berry","Rossendale and Darwen"
"Lab","Lab",0.6672198864,"Fourth","StrongLeave","Leave","For","Against","Abstain","Against","Against","Against","Against","Against","For","Against","Against","Against","Sir Kevin Barron","Rother Valley"
"Lab","Lab",0.6834596314,"Fourth","StrongLeave","Leave","For","Against","For","Against","Against","Against","Against","Against","For","Against","Against","Against","Sarah Champion","Rotherham"
"Con","Con",0.5836766023,"Third","Leave","Leave","For","Against","Against","For","Against","Against","Against","For","For","Against","For","Against","Mark Pawsey","Rugby"
"Con","Con",0.490205247,"Second","Remain","Remain","Abstain","Abstain","Against","Abstain","Against","Against","Against","Abstain","Abstain","Abstain","Abstain","Against","Nick Hurd","Ruislip Northwood and Pinner"
"Con","Con",0.498002617,"Second","Remain","Remain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Philip Hammond","Runnymede and Weybridge"
"Con","Con",0.4130787973,"First","Remain","Remain","For","Abstain","For","For","For","Against","Against","Against","For","Abstain","For","For","Kenneth Clarke","Rushcliffe"
"Lab","Lab",0.3734174153,"First","Remain","Remain","For","For","For","Abstain","For","Against","Against","Against","For","For","Abstain","For","Ged Killen","Rutherglen and Hamilton West"
"Con","Con",0.5395742598,"Third","Leave","Leave","Abstain","Against","Against","Abstain","For","Against","Against","Abstain","For","Against","Abstain","Against","Sir Alan Duncan","Rutland and Melton"
"Con","Con",0.5092493593,"Second","Leave","Leave","Against","Against","Against","Against","Against","Abstain","For","Against","Against","Against","Against","Against","Kemi Badenoch","Saffron Walden"
"Lab","Lab",0.5359345748,"Second","Leave","Leave","For","For","For","For","Abstain","Against","Against","Abstain","For","For","For","Abstain","Rebecca Long Bailey","Salford and Eccles"
"Con","Con",0.5033849157,"Second","Leave","Leave","Against","Against","Against","Against","Against","Against","Against","Against","Against","Against","Against","Against","John Glen","Salisbury"
"Con","Con",0.6136997032,"Fourth","StrongLeave","Leave","Against","Against","Against","Against","Against","For","Against","Against","Against","Against","Against","Against","Robert Goodwill","Scarborough and Whitby"
"Lab","Lab",0.6908634102,"Fourth","StrongLeave","Leave","For","For","For","Abstain","Abstain","Against","Against","Abstain","For","For","For","Abstain","Nic Dakin","Scunthorpe"
"Lab","Lab",0.5894880672,"Third","StrongLeave","Leave","For","For","For","For","Abstain","Against","Against","Abstain","For","For","For","For","Phil Wilson","Sedgefield"
"Lab","Lab",0.4512582863,"First","Remain","Remain","For","For","For","For","For","Against","Against","Against","For","For","For","For","Bill Esterson","Sefton Central"
"Con","Con",0.5778823154,"Third","Leave","Leave","Against","Against","Against","Against","Against","Abstain","For","Against","Against","Against","Against","Against","Nigel Adams","Selby and Ainsty"
"Con","Con",0.538611222,"Third","Leave","Leave","Against","Against","Against","Abstain","Against","Against","For","For","Against","Against","Against","Against","Sir Michael Fallon","Sevenoaks"
"Lab","Lab",0.6143934634,"Fourth","StrongLeave","Leave","For","For","For","For","Abstain","Against","Against","Abstain","For","For","For","Abstain","Gill Furniss","Sheffield Brightside and Hillsb"
"Lab","Lab",0.3040721727,"First","Remain","Remain","For","For","For","For","For","Against","Against","Against","For","For","For","For","Paul Blomfield","Sheffield Central"
"Ind","Other",0.3590070068,"First","Remain","Remain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","For","For","For","Abstain","Jared O'Mara","Sheffield Hallam"
"Lab","Lab",0.5760591914,"Third","Leave","Leave","For","For","For","For","For","Against","Against","Against","For","For","For","Abstain","Louise Haigh","Sheffield Heeley"
"Lab","Lab",0.6648992714,"Fourth","StrongLeave","Leave","For","For","For","For","For","Against","Against","Against","For","For","For","Abstain","Clive Betts","Sheffield South East"
"Con","Con",0.6376245162,"Fourth","StrongLeave","Leave","Against","Against","Against","Against","Against","For","Abstain","Against","Against","Against","Against","Against","Mark Spencer","Sherwood"
"Con","Con",0.5221134452,"Second","Leave","Leave","Against","Against","Against","Against","Against","For","For","Against","Against","Against","Against","Against","Philip Davies","Shipley"
"Con","Con",0.5301679598,"Second","Leave","Leave","Against","Against","Against","Against","Against","For","Against","Against","Against","Against","Against","Against","Daniel Kawczynski","Shrewsbury and Atcham"
"Con","Con",0.6576125356,"Fourth","StrongLeave","Leave","Against","Against","Against","Against","Against","For","For","For","Against","Against","Against","Against","Gordon Henderson","Sittingbourne and Sheppey"
"Con","Con",0.5303345057,"Second","Leave","Leave","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Julian Smith","Skipton and Ripon"
"Con","Con",0.6153246901,"Fourth","StrongLeave","Leave","Against","Against","Against","Against","Against","For","For","Against","Against","Against","Against","Against","Caroline Johnson","Sleaford and North Hykeham"
"Lab","Lab",0.5410037979,"Third","Leave","Leave","For","For","For","For","Abstain","Against","Against","Abstain","For","For","For","Abstain","Tanmanjeet Singh Dhesi","Slough"
"Con","Con",0.5334830853,"Second","Leave","Leave","Against","Against","Against","Against","Against","Abstain","For","For","Against","Against","Abstain","Against","Julian Knight","Solihull"
"Con","Con",0.5096199022,"Second","Leave","Leave","Against","Against","Against","Against","Against","For","For","For","Against","Against","Against","Against","David Warburton","Somerton and Frome"
"Con","Con",0.7307870602,"Fourth","StrongLeave","Leave","Against","Against","Against","Against","Against","For","For","Against","Against","Against","Against","Against","Stephen Metcalfe","South Basildon and East Thurrock"
"TIG","Other",0.3844375957,"First","Remain","Remain","Against","For","Against","Against","For","Against","Abstain","Against","Against","For","Against","For","Heidi Allen","South Cambridgeshire"
"Con","Con",0.6035100097,"Fourth","StrongLeave","Leave","Against","Against","Against","Against","Against","For","For","Against","Against","Against","Against","Against","Heather Wheeler","South Derbyshire"
"Con","Con",0.5949281068,"Third","StrongLeave","Leave","Against","Against","Against","Against","Against","For","For","Against","Against","Against","Against","Against","Richard Drax","South Dorset"
"Con","Con",0.4498843746,"First","Remain","Remain","Abstain","Against","Against","Against","Against","Against","Abstain","Against","Abstain","Against","Against","Against","Lucy Frazer","South East Cambridgeshire"
"Con","Con",0.5494650187,"Third","Leave","Leave","Against","Against","Against","Against","Against","For","For","Against","Against","Against","Against","Against","Sheryll Murray","South East Cornwall"
"Con","Con",0.7117795959,"Fourth","StrongLeave","Leave","Against","Against","Against","Against","Against","For","For","Against","Abstain","Abstain","Abstain","Abstain","Sir John Hayes","South Holland and The Deepings"
"Con","Con",0.5821654142,"Third","Leave","Leave","Against","Against","Against","For","Against","Against","Against","For","For","Against","Against","Against","Alberto Costa","South Leicestershire"
"Con","Con",0.5110654367,"Second","Leave","Leave","Against","Against","Against","Against","Against","For","For","Against","Against","Against","Against","Against","Richard Bacon","South Norfolk"
"Con","Con",0.5267258407,"Second","Leave","Leave","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Andrea Leadsom","South Northamptonshire"
"Con","Con",0.5685420467,"Third","Leave","Leave","Against","Against","Against","Against","Against","Against","Against","Against","Against","Against","Against","Against","Seema Kennedy","South Ribble"
"Lab","Lab",0.6205253267,"Fourth","StrongLeave","Leave","For","Against","For","Abstain","Abstain","Against","Against","Abstain","For","Against","Against","Against","Emma Lewell-Buck","South Shields"
"Con","Con",0.6524281719,"Fourth","StrongLeave","Leave","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Gavin Williamson","South Staffordshire"
"Con","Con",0.5415032318,"Third","Leave","Leave","Against","Against","Against","For","Against","Against","Against","For","Against","Against","For","Against","James Cartlidge","South Suffolk"
"Con","Con",0.5157444245,"Second","Leave","Leave","Against","Against","Against","Against","Against","Against","Against","Against","For","Against","Against","Against","Robert Buckland","South Swindon"
"Con","Con",0.6163407657,"Fourth","StrongLeave","Leave","Against","Against","Against","Against","Against","For","For","Against","Against","Against","Against","Against","Craig Mackinlay","South Thanet"
"Con","Con",0.5861080917,"Third","StrongLeave","Leave","Against","Against","Against","Against","Against","Abstain","Abstain","Against","Against","Against","Against","Against","Andrew Selous","South West Bedfordshire"
"Con","Con",0.5522960826,"Third","Leave","Leave","Against","Against","Against","Against","Against","Against","Against","For","Against","Against","Against","Against","Sir Gary Streeter","South West Devon"
"Con","Con",0.4637440658,"Second","Remain","Remain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","David Gauke","South West Hertfordshire"
"Con","Con",0.6625166752,"Fourth","StrongLeave","Leave","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Elizabeth Truss","South West Norfolk"
"Con","Con",0.4060791595,"First","Remain","Remain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Jeremy Hunt","South West Surrey"
"Con","Con",0.5768707336,"Third","Leave","Leave","Against","Against","Against","Against","Against","For","Abstain","Abstain","Against","Against","Against","Against","Andrew Murrison","South West Wiltshire"
"Con","Con",0.5995870197,"Third","StrongLeave","Leave","Against","Against","Against","Against","Against","For","For","Against","Against","Against","Against","Against","Royston Smith","Southampton Itchen"
"Lab","Lab",0.5065283649,"Second","Leave","Leave","For","For","For","For","For","Against","Against","Against","For","For","For","For","Alan Whitehead","Southampton Test"
"Con","Con",0.5507458096,"Third","Leave","Leave","Against","Against","Against","Against","Against","For","For","Against","Against","Against","Against","Against","Sir David Amess","Southend West"
"Con","Con",0.455067037,"Second","Remain","Remain","Against","Against","Against","Against","Against","Against","Against","Against","Against","Against","Against","Against","Damien Moore","Southport"
"Con","Con",0.60299599,"Fourth","StrongLeave","Leave","Against","Against","Against","Against","Against","For","Against","Against","Against","Against","Against","Against","Kwasi Kwarteng","Spelthorne"
"Con","Con",0.3801529694,"First","Remain","Remain","Against","Against","Against","Against","Against","For","For","Against","Against","Against","Against","Against","Anne Main","St Albans"
"Con","Con",0.6350799896,"Fourth","StrongLeave","Leave","Against","Against","Against","Against","Against","For","For","Against","Against","Against","Against","Against","Steve Double","St Austell and Newquay"
"Lab","Lab",0.582912107,"Third","Leave","Leave","For","For","For","For","Abstain","Against","Against","Abstain","For","For","For","For","Conor McGinn","St Helens North"
"Lab","Lab",0.5611943015,"Third","Leave","Leave","For","For","For","For","For","Against","Against","Against","For","For","Abstain","Abstain","Marie Rimmer","St Helens South and Whiston"
"Con","Con",0.5512600721,"Third","Leave","Leave","Against","Against","Against","Against","Against","For","For","For","Against","Against","Against","Against","Derek Thomas","St Ives"
"Con","Con",0.5721842569,"Third","Leave","Leave","For","Abstain","Abstain","For","Abstain","Against","Abstain","For","For","Against","For","Against","Jeremy Lefroy","Stafford"
"Con","Con",0.6458231542,"Fourth","StrongLeave","Leave","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Karen Bradley","Staffordshire Moorlands"
"Lab","Lab",0.592907293,"Third","StrongLeave","Leave","For","For","For","For","Abstain","Against","Against","Abstain","For","For","For","Abstain","Jonathan Reynolds","Stalybridge and Hyde"
"Con","Con",0.5712019136,"Third","Leave","Leave","Against","Against","Against","Against","Against","For","For","Against","Against","Against","Against","Against","Stephen McPartland","Stevenage"
"Con","Con",0.3219611271,"First","Remain","Remain","Against","Against","Against","Against","Against","Against","Against","For","Against","Against","For","Against","Stephen Kerr","Stirling"
"TIG","Other",0.4678932179,"Second","Remain","Remain","Against","For","Against","Against","For","Against","Against","Against","Against","For","Against","For","Ann Coffey","Stockport"
"Lab","Lab",0.6650023263,"Fourth","StrongLeave","Leave","For","For","For","For","For","Against","Against","Against","For","For","For","Abstain","Alex Cunningham","Stockton North"
"Lab","Lab",0.5780350318,"Third","Leave","Leave","Against","For","For","Against","For","Against","Against","Against","Against","For","Against","For","Paul Williams","Stockton South"
"Lab","Lab",0.6501656311,"Fourth","StrongLeave","Leave","For","Against","For","Against","Against","Against","Against","Against","For","Against","Against","Against","Gareth Snell","Stoke on Trent Central"
"Lab","Lab",0.7212336987,"Fourth","StrongLeave","Leave","For","Against","For","Against","Against","Against","Against","Against","For","Against","Against","Against","Ruth Smeeth","Stoke on Trent North"
"Con","Con",0.7084797992,"Fourth","StrongLeave","Leave","Against","Against","Against","Against","Against","For","For","Against","Against","Against","Against","Against","Jack Brereton","Stoke on Trent South"
"Con","Con",0.5804241671,"Third","Leave","Leave","Against","Against","Against","Against","Against","For","For","Against","Against","Against","Against","Against","Sir William Cash","Stone"
"Con","Con",0.6366398328,"Fourth","StrongLeave","Leave","For","Abstain","Against","For","Abstain","Against","Against","Abstain","For","For","Abstain","Abstain","Margot James","Stourbridge"
"Con","Con",0.5116542882,"Second","Leave","Leave","Against","Against","Against","Abstain","Against","Abstain","Abstain","Abstain","Against","Against","Against","Against","Nadhim Zahawi","Stratford on Avon"
"TIG","Other",0.2053967406,"First","Remain","Remain","Against","For","Against","Against","For","Against","Against","Against","Against","For","Against","For","Chuka Umunna","Streatham"
"Lab","Lab",0.4846768539,"Second","Remain","Remain","For","For","For","Abstain","For","Against","Against","Against","For","For","For","For","Kate Green","Stretford and Urmston"
"Lab","Lab",0.4598749413,"Second","Remain","Remain","For","For","For","For","For","Against","Against","Abstain","For","For","For","For","David Drew","Stroud"
"Con","Con",0.5581571415,"Third","Leave","Leave","Against","Against","Against","Against","Against","Abstain","Abstain","Against","Against","Against","Against","Against","Therese Coffey","Suffolk Coastal"
"Lab","Lab",0.5993816529,"Third","StrongLeave","Leave","For","For","For","Abstain","Abstain","Against","Against","Abstain","For","For","Abstain","Abstain","Julie Elliott","Sunderland Central"
"Con","Con",0.5199617565,"Second","Leave","Leave","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Michael Gove","Surrey Heath"
"Con","Con",0.5126743332,"Second","Leave","Leave","Against","Against","Against","Against","Against","For","For","Against","Against","Against","Against","Against","Paul Scully","Sutton and Cheam"
"Con","Con",0.5167437686,"Second","Leave","Leave","For","Against","Against","Abstain","Against","For","For","Abstain","For","Against","Abstain","Against","Andrew Mitchell","Sutton Coldfield"
"Lab","Lab",0.620992238,"Fourth","StrongLeave","Leave","For","Abstain","For","For","Abstain","Against","Against","Abstain","For","Abstain","For","Abstain","Carolyn Harris","Swansea East"
"Lab","Lab",0.4265852976,"First","Remain","Remain","For","For","For","Abstain","For","Against","Against","Against","For","For","Abstain","For","Geraint Davies","Swansea West"
"Con","Con",0.660041137,"Fourth","StrongLeave","Leave","Against","Against","Against","Against","Against","For","For","Against","Against","Against","Against","Against","Christopher Pincher","Tamworth"
"Con","Con",0.4583063,"Second","Remain","Remain","Against","Against","Against","Against","Against","For","For","Against","Against","Against","Against","Against","Esther McVey","Tatton"
"Con","Con",0.5292471057,"Second","Leave","Leave","Against","Against","Against","Abstain","Against","Against","Against","For","Against","Against","For","Against","Rebecca Pow","Taunton Deane"
"Con","Con",0.670579494,"Fourth","StrongLeave","Leave","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Against","Against","Against","Against","Lucy Allan","Telford"
"Con","Con",0.537790386,"Third","Leave","Leave","Against","Against","Against","Against","Against","For","For","Against","Against","Against","Against","Against","Laurence Robertson","Tewkesbury"
"Con","Con",0.4779690542,"Second","Remain","Remain","Against","Against","Against","Against","Against","For","For","Against","Against","Against","Against","Against","Sir Geoffrey Clifton-Brown","The Cotswolds"
"Con","Con",0.5824790771,"Third","Leave","Leave","Against","Against","Against","Against","Against","For","Against","Against","Against","Against","Against","Against","Mark Pritchard","The Wrekin"
"Con","Con",0.5642595163,"Third","Leave","Leave","Against","Against","Against","For","Against","Against","Against","For","Against","Against","For","Against","Kevin Hollinrake","Thirsk and Malton"
"Con","Con",0.5332839051,"Second","Leave","Leave","Against","Against","Against","Against","Against","Against","Against","Against","Against","Against","Against","Against","Luke Hall","Thornbury and Yate"
"Con","Con",0.7025913649,"Fourth","StrongLeave","Leave","Against","Against","Against","Against","Against","For","Against","Against","Against","Against","Against","Against","Jackie Doyle-Price","Thurrock"
"Con","Con",0.5762505819,"Third","Leave","Leave","Against","Against","Against","Abstain","Against","For","For","For","Against","Against","Abstain","Against","Neil Parish","Tiverton and Honiton"
"Con","Con",0.5258550506,"Second","Leave","Leave","Abstain","Against","Abstain","Abstain","Against","Abstain","Abstain","Abstain","Against","Against","Against","Against","Tom Tugendhat","Tonbridge and Malling"
"Lab","Lab",0.2532017438,"First","Remain","Remain","For","For","For","Against","For","Against","Against","Against","For","For","For","For","Rosena Allin-Khan","Tooting"
"Con","Con",0.6265951073,"Fourth","StrongLeave","Leave","Against","Against","Against","Against","Against","For","Against","For","Against","Against","Against","Against","Kevin Foster","Torbay"
"Lab","Lab",0.6088015426,"Fourth","StrongLeave","Leave","For","For","For","Abstain","Abstain","Against","Against","Abstain","For","For","For","Abstain","Nick Thomas-Symonds","Torfaen"
"Con","Con",0.5707446545,"Third","Leave","Leave","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Geoffrey Cox","Torridge and West Devon"
"TIG","Other",0.5408686983,"Third","Leave","Leave","Against","For","Against","Against","For","Against","Against","Against","Against","For","Against","For","Sarah Wollaston","Totnes"
"Lab","Lab",0.2377702633,"First","Remain","Remain","Abstain","For","For","Abstain","For","Against","Against","Against","Abstain","For","Abstain","For","David Lammy","Tottenham"
"Con","Con",0.4622133598,"Second","Remain","Remain","For","Abstain","Against","Abstain","Abstain","Against","Against","For","For","Abstain","For","Abstain","Sarah Newton","Truro and Falmouth"
"Con","Con",0.4470139079,"First","Remain","Remain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Greg Clark","Tunbridge Wells"
"LD","Other",0.3367556087,"First","Remain","Remain","Abstain","For","Against","Abstain","For","Against","Against","Against","Abstain","For","Abstain","For","Sir Vince Cable","Twickenham"
"Lab","Lab",0.4784100909,"Second","Remain","Remain","For","For","For","Abstain","Abstain","Against","Against","Abstain","For","For","For","Abstain","Sir Alan Campbell","Tynemouth"
"Con","Con",0.5635574865,"Third","Leave","Leave","Against","Against","Against","Against","Against","For","For","Against","Against","Against","Against","Against","Boris Johnson","Uxbridge and South Ruislip"
"Lab","Lab",0.559417007,"Third","Leave","Leave","For","For","For","For","Abstain","Against","Against","Against","For","For","For","For","Chris Ruane","Vale of Clwyd"
"Con","Con",0.5234642603,"Second","Leave","Leave","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Alun Cairns","Vale of Glamorgan"
"Lab","Lab",0.2242839619,"First","Remain","Remain","Against","Against","Abstain","Against","Against","For","For","Abstain","Against","Against","Against","Against","Kate Hoey","Vauxhall"
"Lab","Lab",0.6276506725,"Fourth","StrongLeave","Leave","For","For","For","Abstain","For","Against","Against","Against","For","For","Abstain","For","Mary Creagh","Wakefield"
"Lab","Lab",0.4992311963,"Second","Remain","Remain","For","For","For","Abstain","For","Against","Against","Abstain","For","For","For","For","Angela Eagle","Wallasey"
"Con","Con",0.7418521817,"Fourth","StrongLeave","Leave","Against","Against","Against","Against","Against","For","For","Against","Against","Against","Against","Against","Eddie Hughes","Walsall North"
"Lab","Lab",0.6163527587,"Fourth","StrongLeave","Leave","For","For","For","For","Abstain","Against","Against","Abstain","For","For","For","Abstain","Valerie Vaz","Walsall South"
"Lab","Lab",0.3348858552,"First","Remain","Remain","For","For","For","Abstain","For","Against","Against","Against","For","For","For","For","Stella Creasy","Walthamstow"
"Lab","Lab",0.5619074863,"Third","Leave","Leave","For","Abstain","For","For","Abstain","Against","For","Abstain","For","Abstain","For","Abstain","Ian Lavery","Wansbeck"
"Con","Con",0.4643220697,"Second","Remain","Remain","For","Abstain","Against","For","Abstain","Against","Against","For","For","For","For","For","Edward Vaizey","Wantage"
"Lab","Lab",0.6182570994,"Fourth","StrongLeave","Leave","For","Against","For","Against","Against","Against","Against","Against","For","Abstain","Against","Abstain","John Spellar","Warley"
"Lab","Lab",0.5864758174,"Third","StrongLeave","Leave","For","Against","For","For","Against","Against","Against","Against","For","Against","For","Against","Helen Jones","Warrington North"
