"Party","PartyGroup","BetterLeavePercent","GroupedPercent","GroupedPercent2","ConstituencyVote","Vote1","Vote2","Vote3","Vote4","Vote5","Vote6","Vote7","Vote8","SecondVote1","SecondVote2","SecondVote3","SecondVote4","Name","Constituency"
"SNP","Other",0.4137974888,"First","Remain","Remain","Abstain","For","Abstain","Abstain","For","Against","Against","Against","Abstain","For","For","For","Drew Hendry","Inverness Nairn Badenoch and S"
"Lab","Lab",0.5656765982,"Third","Leave","Leave","For","For","For","For","For","Against","Against","Against","For","For","For","For","Sandy Martin","Ipswich"
"Con","Con",0.6194633409,"Fourth","StrongLeave","Leave","Against","Against","Against","Against","Against","For","Against","Against","Against","Against","Against","Against","Bob Seely","Isle of Wight"
"Lab","Lab",0.2161112362,"First","Remain","Remain","For","For","For","For","Abstain","Against","Against","Abstain","For","For","For","Abstain","Jeremy Corbyn","Islington North"
"Lab","Lab",0.2828310011,"First","Remain","Remain","For","For","For","For","Abstain","Against","Against","Abstain","For","For","For","Abstain","Emily Thornberry","Islington South and Finsbury"
"Lab","Lab",0.5886667507,"Third","StrongLeave","Leave","For","Abstain","For","For","Abstain","Against","Against","Abstain","For","Abstain","For","Abstain","Chris Evans","Islwyn"
"Lab","Lab",0.6161596892,"Fourth","StrongLeave","Leave","Against","Against","Against","Against","Against","Against","Against","Against","Against","Against","Against","Against","Stephen Hepburn","Jarrow"
"Lab","Lab",0.5332509525,"Second","Leave","Leave","For","For","For","For","For","Against","Against","Abstain","For","For","For","For","John Grogan","Keighley"
"Con","Con",0.465989048,"Second","Remain","Remain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Jeremy Wright","Kenilworth and Southam"
"Lab","Lab",0.3135044346,"First","Remain","Remain","For","For","For","Against","For","Against","Against","Against","For","For","For","For","Emma Dent Coad","Kensington"
"Con","Con",0.6098836886,"Fourth","StrongLeave","Leave","Against","Against","Against","Against","Against","For","For","Against","Against","Against","Against","Against","Philip Hollobone","Kettering"
"SNP","Other",0.3960825307,"First","Remain","Remain","Abstain","For","Abstain","Abstain","For","Against","Against","Against","Abstain","For","For","For","Alan Brown","Kilmarnock and Loudoun"
"LD","Other",0.4159414685,"First","Remain","Remain","Abstain","For","Abstain","Abstain","For","Against","Against","Abstain","Against","For","Against","For","Sir Edward Davey","Kingston and Surbiton"
"Lab","Lab",0.7263315426,"Fourth","StrongLeave","Leave","For","For","For","For","Abstain","Abstain","Abstain","Abstain","For","For","For","Abstain","Karl Turner","Kingston upon Hull East"
"Lab","Lab",0.599743353,"Third","StrongLeave","Leave","For","For","For","For","Abstain","Against","Against","Against","For","For","For","Abstain","Diana Johnson","Kingston upon Hull North"
"Lab","Lab",0.6784460334,"Fourth","StrongLeave","Leave","For","For","For","For","Abstain","Against","Against","Abstain","For","For","For","Abstain","Emma Hardy","Kingston upon Hull West and Hessle"
"Con","Con",0.56835363,"Third","Leave","Leave","Against","Against","Against","Against","Against","Against","Against","Against","Against","Against","Against","Against","Chris Skidmore","Kingswood"
"Lab","Lab",0.4166315082,"First","Remain","Remain","For","For","For","For","For","Against","Against","Abstain","For","For","For","For","Lesley Laird","Kirkcaldy and Cowdenbeath"
"Lab","Lab",0.5243938607,"Second","Leave","Leave","For","For","For","For","For","Against","Against","Against","For","For","For","Against","George Howarth","Knowsley"
"SNP","Other",0.3546686261,"First","Remain","Remain","Abstain","For","Abstain","Abstain","For","Against","Against","Against","Abstain","For","For","For","Angela Crawley","Lanark and Hamilton East"
"Lab","Lab",0.509139906,"Second","Leave","Leave","For","For","For","For","Abstain","Against","Against","Abstain","For","For","For","Abstain","Cat Smith","Lancaster and Fleetwood"
"Lab","Lab",0.4742583766,"Second","Remain","Remain","For","For","For","For","Abstain","Against","Against","Abstain","For","For","For","Abstain","Hilary Benn","Leeds Central"
"Lab","Lab",0.6090851152,"Fourth","StrongLeave","Leave","For","For","For","For","Abstain","Against","Against","Abstain","For","For","For","Abstain","Richard Burgon","Leeds East"
"Lab","Lab",0.373261813,"First","Remain","Remain","For","For","For","Abstain","For","Against","Against","Against","For","For","For","For","Fabian Hamilton","Leeds North East"
"Lab","Lab",0.3539748898,"First","Remain","Remain","For","For","For","For","For","Against","Against","Against","For","For","For","For","Alex Sobel","Leeds North West"
"Lab","Lab",0.5497702885,"Third","Leave","Leave","For","For","For","For","For","Against","Against","Against","For","For","For","For","Rachel Reeves","Leeds West"
"Lab","Lab",0.5316441994,"Second","Leave","Leave","For","For","For","For","For","Against","Against","Abstain","For","For","For","For","Keith Vaz","Leicester East"
"Lab","Lab",0.4258202386,"First","Remain","Remain","For","For","For","For","Abstain","Against","Against","Abstain","For","For","For","Abstain","Jonathan Ashworth","Leicester South"
"Lab","Lab",0.516656347,"Second","Leave","Leave","For","For","For","Abstain","For","Against","Against","Against","For","For","Abstain","For","Liz Kendall","Leicester West"
"Lab","Lab",0.6345288292,"Fourth","StrongLeave","Leave","For","Abstain","For","For","Abstain","Against","Against","Abstain","For","Abstain","For","Abstain","Jo Platt","Leigh"
"Con","Con",0.4696810052,"Second","Remain","Remain","Against","Against","Against","Against","Against","For","For","For","Against","Against","Against","Against","Maria Caulfield","Lewes"
"Lab","Lab",0.2466929651,"First","Remain","Remain","For","For","For","For","For","Against","Against","Abstain","For","For","For","For","Vicky Foxcroft","Lewisham Deptford"
"Lab","Lab",0.3544815509,"First","Remain","Remain","For","For","For","Abstain","For","Against","Against","Against","For","For","Abstain","For","Janet Daby","Lewisham East"
"Lab","Lab",0.3446838064,"First","Remain","Remain","For","For","For","Abstain","For","Against","Against","Against","For","For","Abstain","For","Ellie Reeves","Lewisham West and Penge"
"Lab","Lab",0.3500550486,"First","Remain","Remain","For","For","For","For","Abstain","Against","Against","Abstain","For","For","For","Abstain","John Cryer","Leyton and Wanstead"
"Con","Con",0.5757439131,"Third","Leave","Leave","Against","Against","Against","Against","Against","For","For","Against","Against","Against","Against","Against","Michael Fabricant","Lichfield"
"Lab","Lab",0.5731151012,"Third","Leave","Leave","For","For","For","Against","Abstain","Against","Against","Abstain","For","For","For","Abstain","Karen Lee","Lincoln"
"SNP","Other",0.416080522,"First","Remain","Remain","Abstain","For","Abstain","Abstain","For","Against","Against","Against","Abstain","For","For","For","Martyn Day","Linlithgow and East Falkirk"
"Lab","Lab",0.2688889708,"First","Remain","Remain","For","For","For","Against","For","Against","Against","Against","For","For","Abstain","For","Dame Louise Ellman","Liverpool Riverside"
"Lab","Lab",0.5380360055,"Third","Leave","Leave","For","For","For","For","Abstain","Against","Against","Abstain","For","For","For","Abstain","Dan Carden","Liverpool Walton"
"TIG","Other",0.3584956535,"First","Remain","Remain","Against","For","Against","Against","For","Against","Against","Against","Against","For","Against","For","Luciana Berger","Liverpool Wavertree"
"Lab","Lab",0.5028271159,"Second","Leave","Leave","For","For","For","For","For","Against","Against","Abstain","For","For","For","For","Stephen Twigg","Liverpool West Derby"
"SNP","Other",0.4381333665,"First","Remain","Remain","Abstain","For","Abstain","Abstain","For","Against","Against","Against","Abstain","For","For","For","Hannah Bardell","Livingston"
