Party,Name,Constituency,ConstituencyVote,Constituency%,Vote1,Vote2,Vote3,Vote4
Con,Bob Stewart,Beckenham,Remain,53,Against,Against,Against,Against
Con,Iain Stewart,Milton Keynes South,Leave,53,Against,Against,Against,Against
Con,Rory Stewart,Penrith and The Border,Leave,55,For,Against,Abstain,Against
LD,Jamie Stone,Caithness - Sutherland and Easter...,Leave,51,Abstain,For,Abstain,For
Con,Sir Gary Streeter,South West Devon,Leave,55,Against,Against,Against,Against
Lab,Wes Streeting,Ilford North,Leave,53,Abstain,For,Abstain,For
Con,Mel Stride,Central Devon,Leave,51,Against,Against,Against,Against
Lab,Graham Stringer,Blackley and Broughton,None,None,Against,Against,Against,Against
Con,Graham Stuart,Beverley and Holderness,Leave,59,Against,Against,Against,Against
Con,Julian Sturdy,York Outer,Remain,55,Against,Against,Abstain,Against
Con,Rishi Sunak,Richmond (Yorks),Leave,55,Against,Against,Against,Against
Con,Sir Desmond Swayne,New Forest West,Leave,55,Against,Against,Against,Against
Lab,Paul Sweeney,Glasgow North East,Remain,59,For,For,For,For
LD,Jo Swinson,East Dunbartonshire,Remain,73,Against,For,Against,For
Con,Sir Hugo Swire,East Devon,Leave,50,Against,Against,Against,Against
Con,Sir Robert Syms,Poole,Leave,57,Against,Against,Against,Against
Lab,Mark Tami,Alyn and Deeside,Leave,58,For,For,For,Abstain
SNP,Alison Thewliss,Glasgow Central,Remain,71,Abstain,For,For,For
Con,Derek Thomas,St Ives,Leave,55,Against,Against,Against,Against
Lab,Gareth Thomas,Harrow West,Remain,55,For,For,For,For
Lab,Nick Thomas-Symonds,Torfaen,Leave,61,For,For,For,Abstain
Con,Ross Thomson,Aberdeen South,Remain,68,Against,Against,Against,Against
Lab,Emily Thornberry,Islington South and Finsbury,Remain,72,For,For,For,Abstain
Con,Maggie Throup,Erewash,Leave,63,Against,Against,Against,Against
Lab,Stephen Timms,East Ham,Remain,54,For,For,For,For
Con,Kelly Tolhurst,Rochester and Strood,Leave,64,Against,Against,Against,Against
Con,Justin Tomlinson,North Swindon,Leave,57,Against,Against,Against,Against
Con,Michael Tomlinson,Mid Dorset and North Poole,Leave,57,Against,Against,Against,Against
Con,Craig Tracey,North Warwickshire,Leave,68,Against,Against,Against,Against
Con,David Tredinnick,Bosworth,Leave,61,Against,Against,For,Against
Con,Anne-Marie Trevelyan,Berwick-upon-Tweed,Leave,55,Against,Against,Against,Against
Lab,Jon Trickett,Hemsworth,Leave,68,For,Abstain,For,Abstain
Con,Elizabeth Truss,South West Norfolk,Leave,67,Abstain,Abstain,Abstain,Abstain
Con,Tom Tugendhat,Tonbridge and Malling,Leave,53,Against,Against,Against,Against
Lab,Anna Turley,Redcar,Leave,68,For,For,Abstain,For
Lab,Karl Turner,Kingston upon Hull East,Leave,73,For,For,For,Abstain
Lab,Derek Twigg,Halton,Leave,58,For,Against,Against,Against
Lab,Stephen Twigg,Liverpool - West Derby,Remain,50,For,For,For,For
Lab,Liz Twist,Blaydon,Leave,56,For,For,For,Abstain
TIG,Chuka Umunna,Streatham,Remain,80,Against,For,Against,For
Con,Edward Vaizey,Wantage,Remain,53,For,For,For,For
Con,Shailesh Vara,North West Cambridgeshire,Leave,57,Against,Against,Against,Against
Lab,Keith Vaz,Leicester East,Leave,54,For,For,For,For
Lab,Valerie Vaz,Walsall South,Leave,62,For,For,For,Abstain
Con,Martin Vickers,Cleethorpes,Leave,70,Against,Against,Against,Against
Con,Theresa Villiers,Chipping Barnet,Remain,59,Against,Against,Against,Against
Con,Charles Walker,Broxbourne,Leave,66,Against,Against,Against,Against
Con,Robin Walker,Worcester,Leave,54,Against,Against,Against,Against
Lab,Thelma Walker,Colne Valley,Leave,50,For,For,Abstain,For
Con,Ben Wallace,Wyre and Preston North,Leave,54,Against,Against,Against,Against
Con,David Warburton,Somerton and Frome,Leave,50,Against,Against,Against,Against
Con,Matt Warman,Boston and Skegness,Leave,76,Against,Against,Against,Against
Con,Giles Watling,Clacton,Leave,73,Against,Against,Against,Against
Lab,Tom Watson,West Bromwich East,Leave,68,For,For,For,Abstain
Lab,Catherine West,Hornsey and Wood Green,Remain,75,For,For,Abstain,For
Lab,Matt Western,Warwick and Leamington,Remain,58,For,For,For,For
Con,Helen Whately,Faversham and Mid Kent,Leave,59,Against,Against,Against,Against
Con,Heather Wheeler,South Derbyshire,Leave,60,Against,Against,Against,Against
Lab,Alan Whitehead,Southampton - Test,Remain,51,For,For,For,For
Lab,Martin Whitfield,East Lothian,Remain,65,For,For,For,For
SNP,Philippa Whitford,Central Ayrshire,Remain,58,Abstain,For,For,For
Con,Craig Whittaker,Calder Valley,Leave,53,Against,Against,Against,Against
Con,John Whittingdale,Maldon,Leave,61,Against,Against,Against,Against
Con,Bill Wiggin,North Herefordshire,Leave,58,Against,Abstain,Abstain,Abstain
PC,Hywel Williams,Arfon,Remain,64,Abstain,For,For,For
Lab,Paul Williams,Stockton South,Leave,58,Against,For,Against,For
Ind,Chris Williamson,Derby North,Leave,54,For,Against,Abstain,Abstain
Con,Gavin Williamson,South Staffordshire,Leave,65,Abstain,Abstain,Abstain,Abstain
Lab,Phil Wilson,Sedgefield,Leave,59,For,For,For,For
DUP,Sammy Wilson,East Antrim,Leave,55,Against,Against,Against,Against
Lab,Dame Rosie Winterton,Doncaster Central,Leave,67,Abstain,Abstain,Abstain,Abstain
SNP,Pete Wishart,Perth and North Perthshire,Remain,60,Abstain,Abstain,For,For
TIG,Sarah Wollaston,Totnes,Leave,54,Against,For,Against,For
Con,Mike Wood,Dudley South,Leave,70,Against,Against,Against,Against
Ind,John Woodcock,Barrow and Furness,Leave,57,Abstain,For,Abstain,For
Con,William Wragg,Hazel Grove,Leave,52,Against,Against,Against,Against
Con,Jeremy Wright,Kenilworth and Southam,Remain,54,Abstain,Abstain,Abstain,Abstain
Lab,Mohammad Yasin,Bedford,Leave,52,For,For,For,For
Con,Nadhim Zahawi,Stratford-on-Avon,Leave,51,Against,Against,Against,Against
Lab,Daniel Zeichner,Cambridge,Remain,74,Abstain,For,Against,For
