Party,Name,Constituency,ConstituencyVote,Constituency%,Vote1,Vote2,Vote3,Vote4
Lab,Julie Elliott,Sunderland Central,Leave,60,For,For,Abstain,Abstain
Con,Michael Ellis,Northampton North,Leave,60,Against,Against,Against,Against
Lab,Dame Louise Ellman,Liverpool - Riverside,Remain,73,For,For,Abstain,For
Con,Tobias Ellwood,Bournemouth East,Leave,54,For,Against,Against,Against
Lab,Chris Elmore,Ogmore,Leave,59,For,For,For,For
Con,Charlie Elphicke,Dover,Leave,63,Against,Against,Against,Against
Lab,Bill Esterson,Sefton Central,Remain,56,For,For,For,For
Con,George Eustice,Camborne and Redruth,Leave,58,Against,Against,For,Against
Lab,Chris Evans,Islwyn,Leave,59,For,Abstain,For,Abstain
Con,Nigel Evans,Ribble Valley,Leave,59,Against,Against,Against,Against
Con,Sir David Evennett,Bexleyheath and Crayford,Leave,65,Against,Against,Against,Against
Con,Michael Fabricant,Lichfield,Leave,57,Against,Against,Against,Against
Con,Sir Michael Fallon,Sevenoaks,Leave,54,Against,Against,Against,Against
Lab,Paul Farrelly,Newcastle-under-Lyme,Leave,62,For,For,For,For
LD,Tim Farron,Westmorland and Lonsdale,Remain,53,Abstain,For,For,For
SNP,Marion Fellows,Motherwell and Wishaw,Remain,62,Abstain,For,For,For
Ind,Frank Field,Birkenhead,Leave,52,For,Against,Against,Against
Con,Mark Field,Cities of London and Westminster,Remain,72,For,Abstain,Abstain,For
Lab,Jim Fitzpatrick,Poplar and Limehouse,Remain,66,For,Abstain,Abstain,For
Lab,Colleen Fletcher,Coventry North East,Leave,58,For,For,For,Abstain
Lab,Caroline Flint,Don Valley,Leave,69,For,Against,Against,Against
Con,Vicky Ford,Chelmsford,Leave,51,For,Against,Against,Against
Con,Kevin Foster,Torbay,Leave,63,Against,Against,Against,Against
Lab,Yvonne Fovargue,Makerfield,Leave,65,For,Against,Against,Against
Con,Liam Fox,North Somerset,Remain,52,Abstain,Abstain,Abstain,Abstain
Lab,Vicky Foxcroft,Lewisham - Deptford,Remain,76,For,For,For,For
Con,Mark Francois,Rayleigh and Wickford,Leave,68,Against,Against,Against,Against
Con,Lucy Frazer,South East Cambridgeshire,Remain,55,Abstain,Against,Against,Against
Con,George Freeman,Mid Norfolk,Leave,61,Abstain,Abstain,Abstain,Abstain
Con,Mike Freer,Finchley and Golders Green,Remain,69,Against,For,Against,Against
Lab,James Frith,Bury North,Leave,54,For,For,For,For
Lab,Gill Furniss,Sheffield - Brightside and Hillsb...,Leave,60,For,For,For,Abstain
Con,Marcus Fysh,Yeovil,Leave,60,Against,Against,Against,Against
Lab,Hugh Gaffney,Coatbridge - Chryston and Bellshill,Remain,61,For,For,For,For
Con,Sir Roger Gale,North Thanet,Leave,65,Against,Against,Against,Against
TIG,Mike Gapes,Ilford South,Remain,57,Against,For,Against,For
Lab,Barry Gardiner,Brent North,Remain,57,For,For,For,Abstain
Con,Mark Garnier,Wyre Forest,Leave,63,Abstain,For,Abstain,Against
Con,David Gauke,South West Hertfordshire,Remain,54,Abstain,Abstain,Abstain,Abstain
Lab,Ruth George,High Peak,Leave,51,For,For,For,For
SNP,Stephen Gethins,North East Fife,Remain,64,Abstain,For,For,For
Con,Nusrat Ghani,Wealden,Leave,53,Against,Against,Against,Against
Con,Nick Gibb,Bognor Regis and Littlehampton,Leave,65,Against,Against,Against,Against
SNP,Patricia Gibson,North Ayrshire and Arran,Remain,58,Abstain,For,For,For
SF,Michelle Gildernew,Fermanagh and South Tyrone,Remain,59,Abstain,Abstain,Abstain,Abstain
Lab,Preet Kaur Gill,Birmingham - Edgbaston,Remain,53,For,For,For,For
Con,Dame Cheryl Gillan,Chesham and Amersham,Remain,55,Against,Against,Against,Against
DUP,Paul Girvan,South Antrim,Remain,59,Against,Against,Against,Against
Con,John Glen,Salisbury,Remain,50,Against,Against,Against,Against
Lab,Mary Glindon,North Tyneside,Leave,60,For,Against,For,Abstain
Lab,Roger Godsiff,Birmingham - Hall Green,Remain,66,For,For,For,For
Con,Zac Goldsmith,Richmond Park,Remain,71,Against,Against,Against,Against
Lab,Helen Goodman,Bishop Auckland,Leave,61,For,For,For,For
Con,Robert Goodwill,Scarborough and Whitby,Leave,61,Against,Against,Against,Against
Con,Michael Gove,Surrey Heath,Leave,52,Abstain,Abstain,Abstain,Abstain
SNP,Patrick Grady,Glasgow North,Remain,78,Abstain,For,For,For
Con,Luke Graham,Ochil and South Perthshire,Remain,61,For,Against,Against,Against
Con,Richard Graham,Gloucester,Leave,59,For,Against,Against,Against
Con,Bill Grant,Ayr - Carrick and Cumnock,Remain,56,Against,Against,For,Against
Con,Helen Grant,Maidstone and The Weald,Leave,56,Against,Against,Against,Against
SNP,Peter Grant,Glenrothes,Remain,52,Abstain,For,For,For
Con,James Gray,North Wiltshire,Leave,50,Against,Against,Against,Against
SNP,Neil Gray,Airdrie and Shotts,Remain,60,Abstain,For,For,For
Con,Chris Grayling,Epsom and Ewell,Remain,52,Abstain,Abstain,Abstain,Abstain
Con,Chris Green,Bolton West,Leave,56,Against,Against,Against,Against
Con,Damian Green,Ashford,Leave,60,For,Against,Against,Against
Lab,Kate Green,Stretford and Urmston,Remain,51,For,For,For,For
Con,Justine Greening,Putney,Remain,72,Abstain,For,Abstain,For
Lab,Lilian Greenwood,Nottingham South,Remain,53,For,For,For,For
Lab,Margaret Greenwood,Wirral West,Remain,55,For,For,For,Abstain
Con,Dominic Grieve,Beaconsfield,Remain,51,Abstain,For,Abstain,For
Lab,Nia Griffith,Llanelli,Leave,57,For,For,For,Abstain
Con,Andrew Griffiths,Burton,Leave,65,Against,Against,Against,Against
Lab,John Grogan,Keighley,Leave,53,For,For,For,For
Lab,Andrew Gwynne,Denton and Reddish,Leave,61,For,For,For,Abstain
Con,Sam Gyimah,East Surrey,Leave,54,Abstain,For,Abstain,Abstain
Lab,Louise Haigh,Sheffield - Heeley,Leave,57,For,For,For,Abstain
Con,Kirstene Hair,Angus,Remain,52,Against,Against,Against,Against
Con,Robert Halfon,Harlow,Leave,68,Against,Against,For,Against
Con,Luke Hall,Thornbury and Yate,Leave,52,Against,Against,Against,Against
Lab,Fabian Hamilton,Leeds North East,Remain,63,For,For,For,For
Con,Philip Hammond,Runnymede and Weybridge,Remain,50,Abstain,Abstain,Abstain,Abstain
Con,Stephen Hammond,Wimbledon,Remain,71,For,Abstain,For,Abstain
Con,Matt Hancock,West Suffolk,Leave,63,Abstain,Abstain,Abstain,Abstain
Con,Greg Hands,Chelsea and Fulham,Remain,71,Against,Against,Against,Against
Lab,David Hanson,Delyn,Leave,54,For,For,For,Abstain
Lab,Emma Hardy,Kingston upon Hull West and Hessle,Leave,68,For,For,For,Abstain
Lab,Harriet Harman,Camberwell and Peckham,Remain,69,For,For,For,For
Con,Mark Harper,Forest of Dean,Leave,58,Against,Against,Against,Against
Con,Richard Harrington,Watford,Leave,51,For,For,For,For
Lab,Carolyn Harris,Swansea East,Leave,62,For,Abstain,For,Abstain
Con,Rebecca Harris,Castle Point,Leave,73,Against,Against,Against,Against
Con,Trudy Harrison,Copeland,Leave,59,Against,Against,Against,Against
Con,Simon Hart,Carmarthen West and South Pembro...,Leave,55,Against,Against,For,Against
Lab,Helen Hayes,Dulwich and West Norwood,Remain,77,For,For,Abstain,For
Con,Sir John Hayes,South Holland and The Deepings,Leave,71,Abstain,Abstain,Abstain,Abstain
Lab,Sue Hayman,Workington,Leave,61,For,For,For,Abstain
SF,Chris Hazzard,South Down,Remain,67,Abstain,Abstain,Abstain,Abstain
Con,Sir Oliver Heald,North East Hertfordshire,Leave,51,For,Against,Against,Against
Lab,John Healey,Wentworth and Dearne,Leave,70,For,For,For,Abstain
Con,James Heappey,Wells,Leave,54,Against,Against,Against,Against
Con,Chris Heaton-Harris,Daventry,Leave,59,Against,Against,Against,Against
Con,Peter Heaton-Jones,North Devon,Leave,57,Against,Against,Against,Against
Con,Gordon Henderson,Sittingbourne and Sheppey,Leave,65,Against,Against,Against,Against
Lab,Sir Mark Hendrick,Preston,Leave,56,For,For,For,For
SNP,Drew Hendry,Inverness - Nairn - Badenoch and S...,Remain,60,Abstain,For,For,For
Lab,Stephen Hepburn,Jarrow,Leave,62,Against,Against,Against,Against
Con,Nick Herbert,Arundel and South Downs,Remain,50,For,Against,For,Against
Ind,Lady Hermon,North Down,Remain,52,Against,For,Against,For
Lab,Mike Hill,Hartlepool,Leave,70,For,Against,Against,Abstain
Lab,Meg Hillier,Hackney South and Shoreditch,Remain,77,For,For,Abstain,For
Con,Damian Hinds,East Hampshire,Remain,51,Abstain,Abstain,Abstain,Abstain
Con,Simon Hoare,North Dorset,Leave,57,Abstain,Abstain,Abstain,Abstain
LD,Wera Hobhouse,Bath,Remain,68,Against,For,Against,For
Lab,Dame Margaret Hodge,Barking,Leave,60,For,For,Abstain,For
Lab,Sharon Hodgson,Washington and Sunderland West,Leave,62,For,For,For,Abstain
Lab,Kate Hoey,Vauxhall,Remain,78,Against,Against,Against,Against
Lab,Kate Hollern,Blackburn,Leave,54,For,For,For,Abstain
Con,George Hollingbery,Meon Valley,Leave,52,Against,Against,Against,Against
Con,Kevin Hollinrake,Thirsk and Malton,Leave,56,Against,Against,For,Against
Con,Philip Hollobone,Kettering,Leave,61,Against,Against,Against,Against
Con,Adam Holloway,Gravesham,Leave,65,Against,Against,Against,Against
Ind,Kelvin Hopkins,Luton North,Leave,59,Against,Against,Against,Against
SNP,Stewart Hosie,Dundee East,Remain,62,Abstain,Abstain,Abstain,Abstain
Lab,George Howarth,Knowsley,Leave,52,For,For,For,Against
Con,John Howell,Henley,Remain,57,Against,Against,Against,Against
Lab,Sir Lindsay Hoyle,Chorley,Leave,57,Abstain,Abstain,Abstain,Abstain
Con,Nigel Huddleston,Mid Worcestershire,Leave,59,Abstain,Against,Abstain,Against
Con,Eddie Hughes,Walsall North,Leave,74,Against,Against,Against,Against
Con,Jeremy Hunt,South West Surrey,Remain,59,Abstain,Abstain,Abstain,Abstain
Lab,Rupa Huq,Ealing Central and Acton,Remain,71,For,For,For,For
Con,Nick Hurd,Ruislip - Northwood and Pinner,Remain,51,Abstain,Abstain,Abstain,Against
Lab,Imran Hussain,Bradford East,Leave,55,For,For,For,Abstain
Con,Alister Jack,Dumfries and Galloway,Remain,55,Against,Against,Against,Against
Con,Margot James,Stourbridge,Leave,64,For,For,Abstain,Abstain
LD,Christine Jardine,Edinburgh West,Remain,71,Abstain,For,Abstain,For
Lab,Dan Jarvis,Barnsley Central,Leave,68,For,Against,For,Abstain
Con,Sajid Javid,Bromsgrove,Leave,55,Abstain,Abstain,Abstain,Abstain
Con,Ranil Jayawardena,North East Hampshire,Remain,54,Against,Against,Against,Against
Con,Sir Bernard Jenkin,Harwich and North Essex,Leave,59,Against,Against,Against,Against
Con,Andrea Jenkyns,Morley and Outwood,Leave,60,Against,Against,Against,Against
Con,Robert Jenrick,Newark,Leave,56,Against,Against,Against,Against
Con,Boris Johnson,Uxbridge and South Ruislip,Leave,57,Against,Against,Against,Against
Con,Caroline Johnson,Sleaford and North Hykeham,Leave,62,Against,Against,Against,Against
Lab,Diana Johnson,Kingston upon Hull North,Leave,60,For,For,For,Abstain
Con,Gareth Johnson,Dartford,Leave,64,Against,Against,Against,Against
Con,Joseph Johnson,Orpington,Leave,57,Against,For,Abstain,Against
Con,Andrew Jones,Harrogate and Knaresborough,Remain,53,Against,Against,Against,Against
Lab,Darren Jones,Bristol North West,Remain,58,For,For,Abstain,For
Con,David Jones,Clwyd West,Leave,53,Against,Against,Against,Against
Lab,Gerald Jones,Merthyr Tydfil and Rhymney,Leave,58,For,For,For,Abstain
Lab,Debbie Abrahams,Oldham East and Saddleworth,Leave,60,For,For,Abstain,Abstain
Lab,Helen Jones,Warrington North,Leave,58,For,Against,For,Against
Lab,Kevan Jones,North Durham,Leave,60,For,Against,Abstain,Abstain
Con,Marcus Jones,Nuneaton,Leave,65,Against,Against,Against,Against
Lab,Sarah Jones,Croydon Central,Leave,50,For,For,For,For
Lab,Susan Elan Jones,Clwyd South,Leave,60,For,For,Abstain,For
Lab,Mike Kane,Wythenshawe and Sale East,Remain,50,For,Abstain,For,Abstain
Con,Daniel Kawczynski,Shrewsbury and Atcham,Leave,53,Against,Against,Against,Against
Con,Gillian Keegan,Chichester,Leave,51,Abstain,Against,Against,Against
Lab,Barbara Keeley,Worsley and Eccles South,Leave,60,For,For,For,Abstain
Lab,Liz Kendall,Leicester West,Leave,51,For,For,Abstain,For
Con,Seema Kennedy,South Ribble,Leave,57,Against,Against,Against,Against
Con,Stephen Kerr,Stirling,Remain,68,Against,Against,For,Against
Lab,Afzal Khan,Manchester - Gorton,Remain,62,For,For,For,Abstain
Lab,Ged Killen,Rutherglen and Hamilton West,Remain,62,For,For,Abstain,For
Lab,Stephen Kinnock,Aberavon,Leave,60,For,For,For,Abstain
Con,Sir Greg Knight,East Yorkshire,Leave,64,Against,Against,Against,Against
Con,Julian Knight,Solihull,Leave,53,Against,Against,Abstain,Against
Con,Kwasi Kwarteng,Spelthorne,Leave,60,Against,Against,Against,Against
Lab,Peter Kyle,Hove,Remain,67,For,For,For,For
Con,Dame Eleanor Laing,Epping Forest,Leave,61,Abstain,Abstain,Abstain,Abstain
Lab,Lesley Laird,Kirkcaldy and Cowdenbeath,Remain,57,For,For,For,For
PC,Ben Lake,Ceredigion,Remain,55,Abstain,For,For,For
LD,Norman Lamb,North Norfolk,Leave,58,For,For,For,Abstain
Lab,David Lammy,Tottenham,Remain,76,Abstain,For,Abstain,For
Con,John Lamont,Berwickshire - Roxburgh and Selkirk,Remain,57,Against,Against,Against,Against
Con,Mark Lancaster,Milton Keynes North,Remain,50,Against,Against,Against,Against
Con,Pauline Latham,Mid Derbyshire,Leave,53,Against,Against,Against,Against
Lab,Ian Lavery,Wansbeck,Leave,56,For,Abstain,For,Abstain
SNP,Chris Law,Dundee West,Remain,59,Abstain,For,For,For
Con,Andrea Leadsom,South Northamptonshire,Leave,53,Abstain,Abstain,Abstain,Abstain
Lab,Karen Lee,Lincoln,Leave,57,For,For,For,Abstain
Con,Phillip Lee,Bracknell,Leave,53,Against,For,Against,For
Con,Jeremy Lefroy,Stafford,Leave,57,For,Against,For,Against
Con,Sir Edward Leigh,Gainsborough,Leave,62,Against,Against,Against,Against
TIG,Chris Leslie,Nottingham East,Remain,57,Against,For,Against,For
Con,Sir Oliver Letwin,West Dorset,Leave,51,For,Abstain,For,Abstain
Lab,Emma Lewell-Buck,South Shields,Leave,62,For,Against,Against,Against
Con,Andrew Lewer,Northampton South,Leave,59,Against,Against,Against,Against
Con,Brandon Lewis,Great Yarmouth,Leave,72,Abstain,Abstain,Abstain,Abstain
Lab,Clive Lewis,Norwich South,Remain,60,For,For,For,For
Ind,Ivan Lewis,Bury South,Leave,55,For,Against,For,Against
Con,Julian Lewis,New Forest East,Leave,60,Against,Against,Against,Against
Con,Ian Liddell-Grainger,Bridgwater and West Somerset,Leave,62,Against,Against,Against,Against
Con,David Lidington,Aylesbury,Leave,52,Abstain,Abstain,Abstain,Abstain
SNP,David Linden,Glasgow East,Remain,56,Abstain,For,For,For
DUP,Emma Little Pengelly,Belfast South,Remain,70,Against,Against,Against,Against
Ind,Stephen Lloyd,Eastbourne,Leave,57,For,Abstain,For,Abstain
Lab,Tony Lloyd,Rochdale,Leave,57,For,For,For,Abstain
Lab,Rebecca Long Bailey,Salford and Eccles,Leave,54,For,For,For,Abstain
Con,Julia Lopez,Hornchurch and Upminster,Leave,70,Against,Against,Against,Against
Con,Jack Lopresti,Filton and Bradley Stoke,Remain,51,Against,Against,Against,Against
Con,Jonathan Lord,Woking,Remain,56,Against,Against,Against,Against
Con,Tim Loughton,East Worthing and Shoreham,Leave,54,Against,Against,Against,Against
Grn,Caroline Lucas,Brighton - Pavilion,Remain,74,Against,For,Against,For
Lab,Ian C. Lucas,Wrexham,Leave,58,For,For,For,Abstain
Lab,Holly Lynch,Halifax,Leave,59,For,For,For,For
Lab,Steve McCabe,Birmingham - Selly Oak,Remain,53,For,For,For,For
SF,Elisha McCallion,Foyle,Remain,78,Abstain,Abstain,Abstain,Abstain
Lab,Kerry McCarthy,Bristol East,Remain,53,For,For,Abstain,For
Lab,Siobhain McDonagh,Mitcham and Morden,Remain,55,Against,For,Against,For
Lab,Andy McDonald,Middlesbrough,Leave,66,For,For,For,Abstain
SNP,Stewart Malcolm McDonald,Glasgow South,Remain,72,Abstain,For,For,For
SNP,Stuart C. McDonald,Cumbernauld - Kilsyth and Kirkint...,Remain,63,Abstain,For,For,For
Lab,John McDonnell,Hayes and Harlington,Leave,58,For,For,For,Abstain
Lab,Pat McFadden,Wolverhampton South East,Leave,68,For,For,For,Abstain
Lab,Conor McGinn,St Helens North,Leave,58,For,For,For,For
Lab,Alison McGovern,Wirral South,Remain,53,For,For,For,For
Lab,Liz McInnes,Heywood and Middleton,Leave,62,For,Abstain,For,Abstain
Con,Craig Mackinlay,South Thanet,Leave,62,Against,Against,Against,Against
Lab,Catherine McKinnell,Newcastle upon Tyne North,Leave,57,For,For,Abstain,For
Con,Rachel Maclean,Redditch,Leave,61,Against,Against,Against,Against
Con,Sir Patrick McLoughlin,Derbyshire Dales,Leave,51,Against,Against,Against,Against
Lab,Jim McMahon,Oldham West and Royton,Leave,61,For,Abstain,For,Abstain
Lab,Anna McMorrin,Cardiff North,Remain,61,Against,For,Against,For
SNP,John McNally,Falkirk,Remain,58,Abstain,For,For,For
SNP,Angus Brendan MacNeil,Na h-Eileanan an Iar,Remain,55,Abstain,Abstain,Abstain,Abstain
Con,Stephen McPartland,Stevenage,Leave,57,Against,Against,Against,Against
Con,Esther McVey,Tatton,Remain,54,Against,Against,Against,Against
Lab,Justin Madders,Ellesmere Port and Neston,Leave,58,For,For,For,Abstain
Lab,Khalid Mahmood,Birmingham - Perry Barr,Leave,51,For,For,For,Abstain
Lab,Shabana Mahmood,Birmingham - Ladywood,Remain,64,For,For,For,For
Con,Anne Main,St Albans,Remain,62,Against,Against,Against,Against
Con,Alan Mak,Havant,Leave,63,Against,Against,Against,Against
Lab,Seema Malhotra,Feltham and Heston,Leave,56,For,For,For,Abstain
Con,Kit Malthouse,North West Hampshire,Leave,55,Against,Against,Against,Against
Lab,John Mann,Bassetlaw,Leave,68,Against,Against,Against,Against
Con,Scott Mann,North Cornwall,Leave,60,Against,Against,Against,Against
Lab,Gordon Marsden,Blackpool South,Leave,68,For,For,For,Abstain
Lab,Sandy Martin,Ipswich,Leave,56,For,For,For,For
Lab,Rachael Maskell,York Central,Remain,61,For,For,For,For
SF,Paul Maskey,Belfast West,Remain,74,Abstain,Abstain,Abstain,Abstain
Con,Paul Masterton,East Renfrewshire,Remain,74,For,Against,For,Abstain
Lab,Christian Matheson,City of Chester,Remain,58,For,For,For,For
Con,Theresa May,Maidenhead,Remain,55,Abstain,Abstain,Abstain,Abstain
Con,Paul Maynard,Blackpool North and Cleveleys,Leave,67,Against,Against,Against,Against
Lab,Ian Mearns,Gateshead,Leave,56,For,Abstain,For,For
Con,Mark Menzies,Fylde,Leave,57,Against,Against,Against,Against
Con,Johnny Mercer,Plymouth - Moor View,Leave,66,Against,Against,Against,Against
Con,Huw Merriman,Bexhill and Battle,Leave,58,Against,For,Against,Against
Con,Stephen Metcalfe,South Basildon and East Thurrock,Leave,73,Against,Against,Against,Against
Lab,Edward Miliband,Doncaster North,Leave,72,For,For,For,Abstain
Con,Maria Miller,Basingstoke,Leave,54,Against,Against,Against,Against
Con,Amanda Milling,Cannock Chase,Leave,69,Against,Against,Against,Against
Con,Nigel Mills,Amber Valley,Leave,65,Against,Against,Against,Against
Con,Anne Milton,Guildford,Remain,59,For,Abstain,Abstain,Abstain
Con,Andrew Mitchell,Sutton Coldfield,Leave,52,For,Against,Abstain,Against
SF,Francie Molloy,Mid Ulster,Remain,60,Abstain,Abstain,Abstain,Abstain
SNP,Carol Monaghan,Glasgow North West,Remain,69,Abstain,Abstain,Abstain,Abstain
Lab,Madeleine Moon,Bridgend,Leave,50,For,For,Abstain,For
Con,Damien Moore,Southport,Remain,54,Against,Against,Against,Against
LD,Layla Moran,Oxford West and Abingdon,Remain,62,Abstain,For,Abstain,For
Con,Penny Mordaunt,Portsmouth North,Leave,64,Abstain,Abstain,Abstain,Abstain
Lab,Jessica Morden,Newport East,Leave,59,For,For,For,Abstain
Con,Nicky Morgan,Loughborough,Leave,50,For,Against,For,Against
Lab,Stephen Morgan,Portsmouth South,Leave,52,For,For,For,For
Con,Anne Marie Morris,Newton Abbot,Leave,56,Against,Against,Against,Against
Con,David Morris,Morecambe and Lunesdale,Leave,58,Against,Against,Against,Against
Lab,Grahame Morris,Easington,Leave,66,For,Against,Against,Abstain
Con,James Morris,Halesowen and Rowley Regis,Leave,67,Against,Against,Against,Against
Con,Wendy Morton,Aldridge-Brownhills,Leave,68,Against,Against,Against,Against
Con,David Mundell,Dumfriesshire - Clydesdale and Tw...,Remain,55,Abstain,Abstain,Abstain,Abstain
Lab,Ian Murray,Edinburgh South,Remain,78,For,For,For,For
Con,Sheryll Murray,South East Cornwall,Leave,55,Against,Against,Against,Against
Con,Andrew Murrison,South West Wiltshire,Leave,57,Against,Against,Against,Against
Lab,Lisa Nandy,Wigan,Leave,63,For,Abstain,For,For
Con,Robert Neill,Bromley and Chislehurst,Remain,50,For,Abstain,Abstain,Against
SNP,Gavin Newlands,Paisley and Renfrewshire North,Remain,65,Abstain,For,For,For
Con,Sarah Newton,Truro and Falmouth,Remain,54,For,Abstain,For,Abstain
Con,Caroline Nokes,Romsey and Southampton North,Remain,54,Abstain,Abstain,Abstain,Abstain
Con,Jesse Norman,Hereford and South Herefordshire,Leave,60,Against,Against,Against,Against
Lab,Alex Norris,Nottingham North,Leave,64,For,For,For,Abstain
Con,Neil O'Brien,Harborough,Leave,52,Against,Against,Against,Against
Con,Matthew Offord,Hendon,Remain,58,Against,Against,Against,Against
SNP,Brendan O'Hara,Argyll and Bute,Remain,61,Abstain,For,For,For
Ind,Jared O'Mara,Sheffield - Hallam,Remain,66,For,For,For,Abstain
Ind,Fiona Onasanya,Peterborough,Leave,63,Against,For,For,Abstain
Lab,Melanie Onn,Great Grimsby,Leave,71,For,Against,For,Abstain
Lab,Chi Onwurah,Newcastle upon Tyne Central,Remain,52,For,For,For,For
Con,Guy Opperman,Hexham,Remain,55,For,Against,Against,Against
Lab,Kate Osamor,Edmonton,Remain,54,For,For,For,For
Lab,Albert Owen,Ynys Môn,None,None,For,For,For,For
DUP,Ian Paisley,North Antrim,Leave,62,Against,Against,Against,Against
Con,Neil Parish,Tiverton and Honiton,Leave,58,Against,Against,Abstain,Against
Con,Priti Patel,Witham,Leave,61,Against,Against,Against,Against
Con,Owen Paterson,North Shropshire,Leave,60,Against,Against,Against,Against
Con,Mark Pawsey,Rugby,Leave,59,For,Against,For,Against
Lab,Stephanie Peacock,Barnsley East,Leave,71,For,Against,For,Abstain
Lab,Teresa Pearce,Erith and Thamesmead,Leave,55,For,For,For,For
Con,Sir Mike Penning,Hemel Hempstead,Leave,56,Against,Against,Against,Against
Lab,Matthew Pennycook,Greenwich and Woolwich,Remain,64,For,For,For,For
Con,John Penrose,Weston-super-Mare,None,None,Against,Against,For,Against
Con,Andrew Percy,Brigg and Goole,Leave,66,Against,Against,For,Against
Lab,Toby Perkins,Chesterfield,Leave,59,For,For,Abstain,Against
Con,Claire Perry,Devizes,Leave,54,Abstain,Abstain,Abstain,Abstain
Lab,Jess Phillips,Birmingham - Yardley,Leave,60,For,For,For,For
Lab,Bridget Phillipson,Houghton and Sunderland South,Leave,62,For,For,Abstain,For
Con,Chris Philp,Croydon South,Remain,54,Against,Against,Against,Against
Lab,Laura Pidcock,North West Durham,Leave,55,For,For,For,Abstain
Con,Christopher Pincher,Tamworth,Leave,66,Against,Against,Against,Against
Lab,Jo Platt,Leigh,Leave,63,For,Abstain,For,Abstain
