"","NN","lm","GBM"
"RMSE",0.0908858204747695,0.0921730159436795,0.0907404391573778
"Rsquared",0.342158793899398,0.327873279773029,0.346073012062723
"Best.Rsquared",0.3250427536426,0.327873279773029,0.301412644664655
"MAE",0.0708291979278013,0.071704684531595,0.0706025512534162
"Best.MAE",0.0708291979278013,0.071704684531595,0.0706025512534162
