"","NN","SVM","Tree","RF","XGB","GBM","GLM","NB","ada","adaboost"
"Party",0.856719122301647,0.858660869874462,0.875288772715957,0.951943747999573,0.94250737935204,0.944393826238486,0.946316903161563,0.867521426793271,NA,NA
"PartyGroup",0.946318681318681,0.942435897435897,0.92514652014652,0.953956043956044,0.948223443223443,0.952087912087912,0.948205128205128,0.871391941391941,NA,NA
"VoteResult",0.776656183265385,0.768812657736362,0.764852261696758,0.782557949912638,0.754853038245001,0.790478741991846,0.756794020578528,0.689345758105222,0.788498543972044,0.71340361094933
"LeaveQuantile",0.448549019607843,0.428666666666667,0.418627450980392,0.452392156862745,0.476392156862745,0.442705882352941,0.428980392156863,0.34356862745098,NA,NA
"LeaveDiscrete",0.547505338769171,0.541487089885459,0.533624538924481,0.523665307707241,0.541487089885459,0.553329450592118,0.533643952630557,0.480178606095904,NA,NA
