"","NN","SVM","Tree","RF","XGB","GBM","GLM","NB","ada","adaboost"
"Party",0.792288661609176,0.794604654989535,0.795415453804136,0.921270337552008,0.905955763149234,0.908555648064106,0.911772071806964,0.797050607338877,NA,NA
"PartyGroup",0.910588539214536,0.904024559298681,0.874894235231298,0.923168381050032,0.913601977435826,0.919710020955409,0.913499146932313,0.793381804582845,NA,NA
"VoteResult",0.495581722004335,0.475936836587642,0.468174099169376,0.500878001439035,0.454731724617833,0.52096671478957,0.451826117153848,0.373382666768891,0.517093607272835,0.39048818907402
"LeaveQuantile",0.264766144853152,0.238091368297991,0.225931862122784,0.269354830213112,0.301036194628783,0.257057124876519,0.2378082708437,0.125331454362583,NA,NA
"LeaveDiscrete",0.319103997663956,0.310991011230948,0.298514611176252,0.283923515810514,0.309959628041229,0.328520056864895,0.297794591893359,0.21144706020755,NA,NA
