"","NN","SVM","Tree","RF","XGB","GBM","GLM","NB","ada","adaboost"
"Party",0.847047517163547,NA,0.717415244786439,0.859763577562172,0.82285881565741,0.80242556038809,0.79819337571094,0.78981543437047,NA,NA
"PartyGroup",0.952987848365152,NA,0.926332449751653,0.969642964373644,0.955434885177274,0.951330090674353,0.949026773382745,0.926409655917853,NA,NA
"VoteResult",0.844695428028761,NA,0.722049689440994,0.760304912478825,0.75395256916996,0.755364201016375,0.754234895539243,0.758469791078487,0.768915866741954,0.486589497459063
"LeaveQuantile",0.753484536784419,NA,0.693624153624154,0.704064639064639,0.696627261627262,0.708694823694824,0.699130591630592,0.653431475931476,NA,NA
"LeaveDiscrete",0.780403712052152,NA,0.713510678871091,0.72023503051106,0.70383295194508,0.746004958047292,0.752183447749809,0.702154843630816,NA,NA
